Data Point Listing of File C:\NTNMR\data\Dan\LiFe.25Mn.75PO4_redux\[001]\Li7 [001] 135deg.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	ppm
10139.827	26012.629	8573.054
50436.738	-15743.031	8539.564
19891.080	37253.566	8506.075
9232.890	9460.761	8472.586
17660.926	-22483.752	8439.097
36672.125	7150.441	8405.608
19769.426	14785.267	8372.119
15994.060	-2613.980	8338.629
44762.691	-15343.912	8305.140
12399.979	7664.517	8271.651
35064.164	15472.318	8238.162
56885.379	21152.578	8204.673
38751.160	1311.740	8171.184
35996.863	489.975	8137.695
10440.447	-1699.177	8104.205
31648.742	-36897.379	8070.716
42401.465	-34141.172	8037.227
31683.830	9838.969	8003.738
27675.451	-15345.027	7970.249
54614.156	-4886.534	7936.760
46168.988	22165.908	7903.271
9420.542	5944.099	7869.781
18588.621	796.652	7836.292
26431.395	28564.332	7802.803
-9636.372	-13241.452	7769.314
21977.512	-832.685	7735.825
49872.313	37836.371	7702.336
37331.266	6311.564	7668.846
57271.531	27120.232	7635.357
7482.526	29244.557	7601.868
32510.678	-20482.691	7568.379
7064.933	-11440.709	7534.890
44911.422	15093.347	7501.401
36049.738	15094.086	7467.912
53424.902	-21466.498	7434.422
35330.172	-35186.762	7400.933
14758.146	-812.157	7367.444
51682.820	-19800.854	7333.955
42551.734	5654.129	7300.466
16089.044	-5576.650	7266.977
14827.023	-21279.875	7233.488
5654.292	27769.186	7199.998
37924.684	-503.025	7166.509
2311.086	-8432.932	7133.020
20888.354	-36806.758	7099.531
44146.500	-18345.789	7066.042
7747.785	9303.159	7032.553
3993.353	-1506.260	6999.063
15049.639	2898.095	6965.574
27459.053	27718.939	6932.085
-3440.521	-18999.227	6898.596
40266.777	50592.637	6865.107
-19735.033	5254.363	6831.618
30609.461	10708.136	6798.129
5994.009	-14158.631	6764.639
35605.625	14834.852	6731.150
-1588.940	20488.684	6697.661
36162.684	25213.400	6664.172
46741.867	2863.723	6630.683
29682.809	12206.830	6597.194
13663.572	11402.075	6563.704
38957.586	-13958.511	6530.215
26092.225	20495.227	6496.726
8063.885	34388.625	6463.237
14204.572	-18452.967	6429.748
13387.360	53738.047	6396.259
9748.679	41247.059	6362.770
31266.943	22635.512	6329.280
1854.095	-4135.176	6295.791
24080.891	5026.857	6262.302
29146.283	20689.064	6228.813
2588.908	65762.672	6195.324
19332.439	7801.773	6161.835
15901.521	30990.662	6128.346
29468.621	-17309.949	6094.856
31183.596	20781.760	6061.367
11827.820	-16072.724	6027.878
26462.449	13622.043	5994.389
39620.789	6572.813	5960.900
8154.527	18258.154	5927.411
46399.590	3167.648	5893.921
38864.676	21506.238	5860.432
20682.758	25137.553	5826.943
47504.836	29243.738	5793.454
55314.020	9947.865	5759.965
30345.275	27774.920	5726.476
15251.104	36272.535	5692.987
-36469.098	-4913.994	5659.497
10823.380	-9851.255	5626.008
36370.164	54198.004	5592.519
26578.623	9730.224	5559.030
28436.838	-15355.850	5525.541
12822.140	-7908.965	5492.052
4931.613	30598.189	5458.563
51816.512	32562.250	5425.073
47424.656	51068.609	5391.584
27947.279	-17250.412	5358.095
-15560.159	47110.664	5324.606
28135.104	25171.084	5291.117
72505.656	61081.844	5257.628
33391.340	38403.184	5224.138
41648.988	4078.735	5190.649
6672.129	24228.689	5157.160
18810.521	25111.969	5123.671
22684.539	27519.027	5090.182
39386.645	-2107.847	5056.693
27866.285	15719.027	5023.204
44703.340	53952.355	4989.714
13578.073	59144.969	4956.225
-10339.763	28976.895	4922.736
46003.379	3805.741	4889.247
-10619.219	17468.318	4855.758
32740.590	-2854.768	4822.269
63654.605	14038.201	4788.780
15441.258	5138.581	4755.290
49559.035	18578.270	4721.801
5762.794	8177.182	4688.312
11229.331	17930.137	4654.823
-10775.196	25287.705	4621.334
28385.674	-22048.275	4587.845
13252.260	28934.541	4554.355
40863.379	16163.821	4520.866
20740.365	61873.750	4487.377
31646.215	3828.398	4453.888
-8976.594	53559.660	4420.399
2161.494	52294.305	4386.910
31959.564	3643.837	4353.421
20649.453	20728.156	4319.931
25125.033	41799.137	4286.442
61149.871	3154.651	4252.953
5318.378	7236.952	4219.464
28180.242	37450.188	4185.975
-4575.048	52009.543	4152.486
46942.863	44847.352	4118.996
22156.875	64870.793	4085.507
-2676.204	21238.799	4052.018
48925.238	27093.971	4018.529
29800.105	19910.260	3985.040
-19235.322	26820.469	3951.551
3457.881	40031.953	3918.062
43271.602	-12539.407	3884.572
11146.815	52070.645	3851.083
13304.876	77583.219	3817.594
21646.527	35227.762	3784.105
52466.262	39777.375	3750.616
20049.512	92208.938	3717.127
29944.645	22490.484	3683.638
32665.590	64483.359	3650.148
8392.437	74579.328	3616.659
15580.136	47331.836	3583.170
69247.570	87652.320	3549.681
49977.480	67148.430	3516.192
38903.508	7266.101	3482.703
33476.703	36272.898	3449.213
20259.412	24554.660	3415.724
34010.766	50065.422	3382.235
36501.273	6290.491	3348.746
24229.350	27278.730	3315.257
14481.262	6376.777	3281.768
40271.105	18442.967	3248.279
11563.623	34095.594	3214.789
-11336.725	2360.317	3181.300
27011.365	30782.186	3147.811
42026.547	20411.094	3114.322
9019.656	71050.969	3080.833
20496.508	13767.459	3047.344
33027.254	69563.500	3013.855
27311.492	28346.445	2980.365
-5170.646	72343.250	2946.876
-5257.805	6967.112	2913.387
-244.812	32174.543	2879.898
16515.951	59108.727	2846.409
42141.555	66618.383	2812.920
39745.570	76483.898	2779.430
-1055.720	88117.023	2745.941
57326.676	22758.250	2712.452
55617.496	83465.023	2678.963
54962.043	70094.273	2645.474
62009.133	51393.699	2611.985
-17101.727	54609.637	2578.496
22613.529	42086.738	2545.006
15714.154	49684.258	2511.517
-7107.674	65261.230	2478.028
13570.630	47505.133	2444.539
10141.471	44317.750	2411.050
733.796	75536.750	2377.561
18946.984	58848.992	2344.072
27418.492	46457.434	2310.582
23384.393	57361.051	2277.093
8511.645	72975.734	2243.604
30416.510	62044.375	2210.115
23938.639	80985.305	2176.626
14740.051	52926.512	2143.137
44755.000	95666.188	2109.647
25913.074	81700.109	2076.158
37077.645	107154.797	2042.669
-2845.179	84923.844	2009.180
18368.301	44493.035	1975.691
8375.883	47889.832	1942.202
17205.711	61609.523	1908.713
53853.762	98825.102	1875.223
31993.654	88200.070	1841.734
32521.102	70552.922	1808.245
7037.117	41249.359	1774.756
38262.125	77824.961	1741.267
-360.221	73689.195	1707.778
29125.396	106066.828	1674.288
22643.281	78943.758	1640.799
-5015.414	118462.852	1607.310
27595.977	84775.453	1573.821
3782.880	108855.383	1540.332
-1522.425	69792.602	1506.843
17239.199	85159.289	1473.354
-15890.890	109017.719	1439.864
31914.266	106135.664	1406.375
17265.881	87412.906	1372.886
23497.297	97428.625	1339.397
6318.625	143529.781	1305.908
4298.674	133510.719	1272.419
19387.078	104812.445	1238.930
55235.559	129622.422	1205.440
-4607.680	129232.172	1171.951
36404.516	174166.422	1138.462
19671.941	141904.844	1104.973
18196.701	177575.719	1071.484
-6167.283	143473.391	1037.995
26054.543	162482.766	1004.505
58411.023	135965.672	971.016
-11757.433	140552.766	937.527
3460.571	170203.359	904.038
5148.828	191594.844	870.549
21086.695	208021.156	837.060
17662.211	187078.219	803.571
22585.641	201546.859	770.081
24652.846	254952.703	736.592
29719.910	203995.078	703.103
15497.737	239150.766	669.614
47820.676	242746.719	636.125
64610.199	282275.563	602.636
72715.344	285350.719	569.147
26357.582	305532.531	535.657
94783.719	317945.063	502.168
105784.336	320476.219	468.679
118679.914	280319.281	435.190
137174.641	372476.750	401.701
178768.375	389839.750	368.212
169545.656	409134.656	334.722
198432.266	422828.344	301.233
