Data Point Listing of File C:\NTNMR\data\Dan\LiFe.25Mn.75PO4_redux\[010]\P31 [010] 30deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	Hz
134431.063	-90728.836	2499980.282
90247.328	30158.051	2495097.470
172237.797	48193.484	2490214.657
6891.789	-65264.793	2485331.845
38678.664	80009.656	2480449.032
141161.594	-5772.284	2475566.220
-113640.008	18309.697	2470683.407
61528.566	79678.148	2465800.595
102137.109	88088.703	2460917.782
27013.180	-19821.504	2456034.970
25113.844	53991.891	2451152.157
181537.438	-2910.353	2446269.345
-108626.164	17708.625	2441386.532
157414.672	90965.461	2436503.720
-40428.863	-80358.133	2431620.907
94697.125	-37371.547	2426738.095
-22587.645	119352.117	2421855.282
-139931.516	-180465.703	2416972.470
15039.424	62957.145	2412089.657
133131.984	-27232.799	2407206.845
99330.688	119512.625	2402324.032
-72376.000	-91622.609	2397441.220
156601.297	-29704.609	2392558.407
95931.820	273994.844	2387675.595
112482.625	145049.484	2382792.782
-13496.375	133837.734	2377909.970
-44219.613	104443.109	2373027.157
-14654.709	260786.953	2368144.345
-8.691	167566.031	2363261.532
255728.594	58213.133	2358378.720
-54387.609	-46115.668	2353495.907
-43299.867	-156031.875	2348613.095
46308.027	61804.598	2343730.282
219368.422	152531.156	2338847.470
37982.727	121805.438	2333964.657
206977.844	-96019.875	2329081.845
-127058.828	56966.621	2324199.032
-161073.172	-123566.094	2319316.220
50638.906	-772.808	2314433.407
195048.484	180864.203	2309550.595
92151.320	-37388.488	2304667.782
61687.672	-56079.434	2299784.970
211235.016	-88495.063	2294902.157
-66653.633	47776.473	2290019.345
-32666.074	-116129.039	2285136.532
171802.203	-31399.721	2280253.720
108801.469	216659.688	2275370.907
-101760.797	12880.095	2270488.095
-102790.258	67434.656	2265605.282
-83788.820	220719.813	2260722.470
90827.148	-76218.070	2255839.657
225052.703	102371.727	2250956.845
-148472.438	28334.010	2246074.032
266632.375	41363.531	2241191.220
-10106.013	70695.656	2236308.407
272698.563	44771.773	2231425.595
253115.422	101071.625	2226542.782
-17882.510	293754.594	2221659.970
-220243.969	258603.531	2216777.157
113643.953	-31494.385	2211894.345
-83860.758	46811.258	2207011.532
7025.942	4799.224	2202128.720
-149550.328	52891.566	2197245.907
-236129.797	43080.047	2192363.095
90868.734	-39721.176	2187480.282
15517.706	129842.750	2182597.470
367.238	166553.109	2177714.657
4484.857	105041.711	2172831.845
-1355.702	151976.422	2167949.032
236254.047	252528.109	2163066.220
227447.391	53942.680	2158183.407
124938.961	56006.672	2153300.595
33246.969	305349.625	2148417.782
-26769.223	-231694.375	2143534.970
-283734.813	373057.281	2138652.157
207465.172	-31568.852	2133769.345
28095.148	-367555.469	2128886.532
83689.445	-200206.188	2124003.720
141271.922	265976.125	2119120.907
19294.420	174414.016	2114238.095
52299.926	33239.473	2109355.282
381609.313	201414.609	2104472.470
140376.688	486484.656	2099589.657
83263.727	428738.594	2094706.845
-67476.727	-30777.104	2089824.032
93768.656	83274.969	2084941.220
90747.727	42215.242	2080058.407
14425.071	85329.898	2075175.595
76783.031	-32154.301	2070292.782
219598.625	248523.719	2065409.970
362221.500	321846.344	2060527.157
281091.688	-191287.141	2055644.345
376456.656	-39272.945	2050761.532
53678.508	422014.219	2045878.720
-230272.031	323978.438	2040995.907
150276.656	34073.375	2036113.095
288274.594	532158.813	2031230.282
77738.008	-257992.203	2026347.470
119662.953	250578.281	2021464.657
-2573.626	401627.469	2016581.845
227532.453	169914.156	2011699.032
-415689.813	-22859.449	2006816.220
-125090.922	216514.406	2001933.407
130607.688	8117.714	1997050.595
-263986.844	604057.250	1992167.782
233650.219	209654.719	1987284.970
-212001.328	-146050.984	1982402.157
219599.297	319770.781	1977519.345
278565.906	141552.875	1972636.532
180619.563	305517.938	1967753.720
216746.141	-265716.031	1962870.907
-24117.879	216702.797	1957988.095
428728.844	153023.250	1953105.282
-372458.531	367125.594	1948222.470
302362.469	54435.926	1943339.657
322914.406	268238.531	1938456.845
6876.942	242726.641	1933574.032
301131.906	-21882.213	1928691.220
233037.531	224107.500	1923808.407
-64651.660	74114.508	1918925.595
286471.406	164164.188	1914042.782
-351631.469	-293419.813	1909159.970
-341372.438	209852.609	1904277.157
144567.875	245174.172	1899394.345
126489.984	384595.531	1894511.532
399723.063	520085.406	1889628.720
-123370.867	245398.219	1884745.907
62218.645	139140.000	1879863.095
302523.938	335886.406	1874980.282
250789.203	576917.688	1870097.470
-100436.539	581208.438	1865214.657
-97021.070	24973.611	1860331.845
110121.047	-150120.703	1855449.032
-22387.871	148629.078	1850566.220
-90352.109	177998.453	1845683.407
261223.484	8876.366	1840800.595
284401.750	335075.156	1835917.782
-327452.875	488534.094	1831034.970
239079.500	232588.641	1826152.157
-7672.278	21371.232	1821269.345
183635.484	-125457.672	1816386.532
42383.648	72404.438	1811503.720
136775.328	446943.719	1806620.907
24445.613	-331480.938	1801738.095
243101.156	45557.789	1796855.282
55627.637	210761.703	1791972.470
-43046.563	645334.250	1787089.657
294267.125	461679.406	1782206.845
91970.063	124718.016	1777324.032
313978.594	-111678.031	1772441.220
268173.344	-36356.477	1767558.407
61118.457	642495.563	1762675.595
-124577.922	244234.406	1757792.782
-20201.998	239869.781	1752909.970
524123.563	614531.438	1748027.157
376469.875	486013.563	1743144.345
-318932.750	635678.313	1738261.532
-135663.563	-144979.813	1733378.720
-122640.766	-53229.527	1728495.907
-643405.813	186843.734	1723613.095
-102060.875	226626.891	1718730.282
130662.297	210917.266	1713847.470
-372241.344	199975.453	1708964.657
-254553.328	-102732.656	1704081.845
211180.328	499749.563	1699199.032
-393977.875	334776.344	1694316.220
488564.375	272566.563	1689433.407
-116373.156	161786.250	1684550.595
175161.891	435522.188	1679667.782
140600.875	248852.453	1674784.970
323604.531	149862.922	1669902.157
363719.469	-36149.961	1665019.345
241341.406	441679.156	1660136.532
155397.375	310584.813	1655253.720
408085.094	500640.719	1650370.907
234623.438	297574.063	1645488.095
-38198.410	667511.563	1640605.282
181187.141	465320.375	1635722.470
-21172.826	373157.344	1630839.657
79625.523	-91522.531	1625956.845
-259160.625	110602.258	1621074.032
-89441.781	-41877.059	1616191.220
247399.266	362624.094	1611308.407
417113.688	830161.688	1606425.595
444192.938	992277.000	1601542.782
-89673.906	150023.422	1596659.970
445142.813	321568.969	1591777.157
108330.164	-122567.727	1586894.345
-186360.688	942146.375	1582011.532
114055.211	372334.750	1577128.720
-239745.828	-299479.406	1572245.907
-7775.220	391230.250	1567363.095
-50865.230	782378.063	1562480.282
325355.406	358621.344	1557597.470
-3589.618	-295951.625	1552714.657
-64579.656	194801.234	1547831.845
142825.266	348013.469	1542949.032
-34132.113	141907.328	1538066.220
635166.063	-83019.500	1533183.407
345473.344	-12755.755	1528300.595
40557.996	669331.250	1523417.782
322680.375	477742.938	1518534.970
-361336.938	-285305.000	1513652.157
-12408.729	388004.844	1508769.345
251536.125	695358.313	1503886.532
109143.336	48484.188	1499003.720
672425.000	117130.922	1494120.907
-26304.748	737084.250	1489238.095
-109794.211	894009.625	1484355.282
630184.250	-58040.207	1479472.470
690825.938	73387.469	1474589.657
-631910.375	529968.563	1469706.845
341415.719	268766.938	1464824.032
-222347.078	528099.188	1459941.220
150628.891	144673.297	1455058.407
-415651.344	172840.047	1450175.595
-25261.602	609935.000	1445292.782
360816.656	943898.750	1440409.970
286671.406	249987.844	1435527.157
239845.156	441489.563	1430644.345
362996.406	768061.438	1425761.532
609065.625	443761.063	1420878.720
-150363.250	454447.219	1415995.907
-238863.750	631798.000	1411113.095
55645.457	1197027.500	1406230.282
784046.750	88902.242	1401347.470
504819.781	71217.016	1396464.657
397272.500	825567.625	1391581.845
107316.422	276967.719	1386699.032
