Data Point Listing of File C:\NTNMR\data\Dan\LiFe.5Mn.5PO4\[001]\Li7 [001] 180deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	ppm
48137.219	-61146.207	8573.122
58471.238	-12297.691	8556.377
-53641.246	-26993.953	8539.632
-1994.948	-19625.703	8522.887
162220.453	122062.031	8506.143
-65741.258	-70014.008	8489.398
29993.182	-27778.904	8472.653
53493.094	28024.797	8455.909
-39135.480	-166623.563	8439.164
84203.438	-98029.563	8422.419
38366.535	47029.363	8405.675
29411.168	11026.918	8388.930
-97342.484	75044.555	8372.185
96207.164	10382.426	8355.440
105688.125	-177191.375	8338.696
36396.641	58744.613	8321.951
41092.355	108188.664	8305.206
-100147.234	-32228.330	8288.462
-36553.809	-56997.109	8271.717
94966.211	35746.070	8254.972
34208.141	-9215.765	8238.227
-85911.313	58423.676	8221.483
-152772.344	-1262.073	8204.738
-33336.527	-83932.672	8187.993
51790.414	-49881.711	8171.249
26770.756	-31196.053	8154.504
105905.469	93485.289	8137.759
11228.896	-69922.766	8121.014
-34000.164	42726.664	8104.270
38933.047	-39910.863	8087.525
-28224.293	-5656.420	8070.780
-35344.891	5874.478	8054.036
102359.117	26816.652	8037.291
-81071.219	-81198.914	8020.546
-99175.555	-6747.876	8003.802
90917.469	32822.727	7987.057
7837.612	28301.803	7970.312
-46697.340	8535.774	7953.567
108198.875	-64219.055	7936.823
-80650.086	55302.234	7920.078
-31060.266	-14734.406	7903.333
-26677.545	70207.836	7886.589
64410.418	-12367.594	7869.844
97360.656	-61603.059	7853.099
-46196.832	-56940.969	7836.354
5411.529	-24431.385	7819.610
-40490.281	4719.375	7802.865
69739.930	-82730.422	7786.120
-50756.953	56045.645	7769.376
104803.758	-19387.574	7752.631
163132.188	10951.835	7735.886
-4960.313	26623.684	7719.141
59785.051	28710.918	7702.397
104703.203	-23755.275	7685.652
-58645.836	-81895.156	7668.907
-5319.759	-73821.531	7652.163
-135489.313	126924.547	7635.418
48524.992	27673.713	7618.673
-31121.170	90908.352	7601.929
-123938.953	-357.720	7585.184
76923.008	107084.188	7568.439
80338.953	-14933.517	7551.694
-30734.320	162537.734	7534.950
-12158.516	-26428.191	7518.205
-104815.719	25648.578	7501.460
94774.734	-36383.504	7484.716
28671.234	-160625.734	7467.971
-145489.531	-1454.235	7451.226
-44673.094	112817.914	7434.481
-21069.910	261.766	7417.737
-1462.638	235865.125	7400.992
-53775.711	-10336.687	7384.247
44185.684	17747.600	7367.503
