Data Point Listing of File C:\NTNMR\data\Dan\LiFe.5Mn.5PO4\Li7 [100] 150deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	ppm
2316.781	-6975.375	8573.054
46125.781	-22467.492	8556.309
44329.438	-58618.926	8539.564
31682.000	6961.807	8522.820
67009.875	-62686.078	8506.075
6192.813	-31984.295	8489.331
35058.938	7099.945	8472.586
24595.156	-23356.006	8455.842
-8270.344	4085.715	8439.097
45579.219	-102874.875	8422.352
56482.688	-30536.809	8405.608
16774.094	-35061.016	8388.863
26006.125	-21464.453	8372.119
39392.500	-20743.461	8355.374
-8214.375	-29831.844	8338.629
6175.469	-55711.383	8321.885
74207.750	-55652.391	8305.140
-20096.688	-69907.938	8288.396
6756.625	15091.656	8271.651
-7584.844	-4020.438	8254.907
-30655.000	-52595.297	8238.162
3047.125	-18586.625	8221.417
26079.063	-88617.594	8204.673
-2573.313	18490.250	8187.928
44948.250	-12331.063	8171.184
-36913.344	-27610.156	8154.439
26061.563	-81004.063	8137.695
36008.438	-27322.281	8120.950
59576.656	-15754.281	8104.205
21978.828	-54235.750	8087.461
65100.641	31428.219	8070.716
90264.672	-3242.938	8053.972
34114.188	2447.344	8037.227
125256.094	-87555.969	8020.483
45586.672	-44869.063	8003.738
75458.281	6280.625	7986.993
18763.789	13982.219	7970.249
72335.688	-40049.938	7953.504
50651.891	108.688	7936.760
-5930.750	-121156.938	7920.015
-34714.859	-45982.375	7903.271
-25336.641	-68986.719	7886.526
-27281.527	-53105.875	7869.781
-30069.539	-34436.438	7853.037
15694.414	-40146.031	7836.292
-19523.545	-9828.594	7819.548
93028.570	-52221.000	7802.803
46293.098	-44634.531	7786.059
44888.879	-12930.281	7769.314
51602.484	-3926.469	7752.569
-33922.195	-47590.125	7735.825
22840.246	-18593.844	7719.080
23512.125	10633.031	7702.336
44497.648	-58098.250	7685.591
9394.891	-51298.844	7668.846
-9585.133	-57215.188	7652.102
40426.148	9946.750	7635.357
47345.418	-109408.703	7618.613
35781.098	-59851.625	7601.868
23791.000	-38843.531	7585.124
76666.422	7844.750	7568.379
20642.258	-60564.578	7551.634
44877.781	-19463.563	7534.890
11733.063	-56455.609	7518.145
57477.832	-38849.234	7501.401
-20162.391	-19550.938	7484.656
9898.797	-36119.391	7467.912
-7632.852	-42867.906	7451.167
58189.617	6833.906	7434.422
45837.688	-98688.641	7417.678
58157.445	-46509.641	7400.933
-39192.234	6555.016	7384.189
23971.063	-8750.156	7367.444
62146.609	-31399.375	7350.700
-41714.164	-290.672	7333.955
21565.219	-75315.859	7317.210
82615.344	9788.281	7300.466
10943.766	42269.594	7283.721
31479.109	-52971.438	7266.977
55219.438	-22621.156	7250.232
34324.141	-18686.672	7233.488
55809.203	43915.063	7216.743
29920.156	9166.109	7199.998
16733.570	19837.656	7183.254
59714.391	-9129.688	7166.509
52481.750	13870.953	7149.765
35996.828	-20290.281	7133.020
8091.555	-33184.875	7116.275
43931.992	-34736.711	7099.531
22392.453	-17934.180	7082.786
-19753.070	-52848.195	7066.042
-19489.039	-15679.914	7049.297
106957.859	-69196.414	7032.553
64464.055	28616.836	7015.808
25507.750	40178.063	6999.063
104988.234	-10007.898	6982.319
18620.891	-85665.688	6965.574
24007.133	-83299.305	6948.830
57994.219	-48408.852	6932.085
26817.285	-50628.563	6915.341
8407.883	11311.453	6898.596
16587.875	-64068.066	6881.851
74505.172	-464.641	6865.107
22143.727	46901.770	6848.362
103826.805	-78267.422	6831.618
51570.035	-29014.570	6814.873
-39426.848	-31592.754	6798.129
48626.039	-2119.535	6781.384
22436.797	-45110.797	6764.639
27074.141	-53073.914	6747.895
62287.840	-54095.711	6731.150
21273.047	805.852	6714.406
60229.266	11007.695	6697.661
71478.906	-17296.688	6680.917
10855.924	-52115.523	6664.172
-3992.387	-79156.594	6647.427
12213.695	-83453.219	6630.683
20601.914	13126.996	6613.938
42582.930	-50221.969	6597.194
35612.543	-32529.594	6580.449
93557.844	-55688.848	6563.704
70892.734	-46261.215	6546.960
35422.469	-33132.297	6530.215
60515.777	-21952.297	6513.471
74283.000	38326.941	6496.726
19917.484	-53746.418	6479.982
105906.750	18783.867	6463.237
30082.297	-27926.508	6446.492
49958.563	45388.258	6429.748
57084.070	-17198.645	6413.003
57985.617	-56551.395	6396.259
10422.414	14670.527	6379.514
81405.445	-23812.340	6362.770
30393.775	7804.891	6346.025
80202.875	-84806.070	6329.280
-16530.229	32594.664	6312.536
51573.871	-27223.445	6295.791
92759.133	17018.727	6279.047
100667.500	-55459.059	6262.302
19856.363	-47840.898	6245.558
20787.750	-37727.207	6228.813
-59292.098	12454.547	6212.068
29409.770	-35020.250	6195.324
99692.859	6827.371	6178.579
56941.836	-55989.992	6161.835
96395.234	-17470.910	6145.090
52845.164	-6735.750	6128.346
103661.563	-55216.383	6111.601
-27534.592	-88695.641	6094.856
-2594.836	-27664.305	6078.112
32489.207	-96769.969	6061.367
37157.004	10328.645	6044.623
75848.898	999.822	6027.878
18600.176	-26722.453	6011.134
6350.988	-31084.576	5994.389
23591.691	5687.129	5977.644
15758.543	-20148.184	5960.900
39803.109	-20220.605	5944.155
77714.203	-40067.914	5927.411
84604.711	-39157.914	5910.666
39657.188	22524.645	5893.921
23265.305	-48237.617	5877.177
-6817.926	-115616.227	5860.432
47358.867	-10397.150	5843.688
76099.625	-2278.086	5826.943
18797.598	-46124.316	5810.199
17135.547	-42766.172	5793.454
-33030.383	-93862.148	5776.709
50978.262	-35534.727	5759.965
51915.570	64600.004	5743.220
28284.781	21907.219	5726.476
108179.438	-53376.840	5709.731
58985.172	7377.646	5692.987
43378.895	-7090.422	5676.242
73225.375	-45611.180	5659.497
73418.281	-37558.672	5642.753
90154.359	-7731.301	5626.008
101172.094	-25002.748	5609.264
42081.289	10882.129	5592.519
-356.615	-73358.555	5575.775
88014.867	-74283.266	5559.030
82721.727	23965.102	5542.285
61883.492	-45614.684	5525.541
52028.941	-6613.188	5508.796
39118.934	-133633.281	5492.052
48975.070	-52583.664	5475.307
31807.143	-23946.885	5458.563
60514.098	22806.363	5441.818
31468.340	11644.816	5425.073
16653.010	-21753.510	5408.329
-19002.848	63620.859	5391.584
81765.266	-17062.848	5374.840
-27487.240	1632.271	5358.095
134315.188	34792.258	5341.350
77869.203	-82707.570	5324.606
70629.711	64799.102	5307.861
64868.227	-26931.402	5291.117
96695.734	-52802.664	5274.372
35170.020	-78560.625	5257.628
27719.414	-29281.703	5240.883
39887.461	-9821.898	5224.138
19670.609	-58910.961	5207.394
26248.297	-25919.266	5190.649
66728.625	9901.440	5173.905
