Data Point Listing of File C:\NTNMR\data\Dan\LiFe.5Mn.5PO4\P31 [100] 0deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	Hz
-1425.057	54041.391	2499980.282
101270.664	22894.857	2495097.470
49609.297	84311.922	2490214.657
89046.617	10174.658	2485331.845
70960.188	-83803.305	2480449.032
125458.563	-101326.500	2475566.220
110014.914	85351.766	2470683.407
134492.188	-6389.917	2465800.595
64228.922	-17670.422	2460917.782
-15937.606	-254.731	2456034.970
157521.625	-4570.064	2451152.157
73294.047	119352.797	2446269.345
128181.188	53976.762	2441386.532
-18510.014	-13056.533	2436503.720
120530.641	17814.256	2431620.907
-21434.879	57967.770	2426738.095
76405.094	-7099.003	2421855.282
171059.688	35268.211	2416972.470
-17664.762	85887.664	2412089.657
14798.942	-54603.914	2407206.845
94270.859	-18751.164	2402324.032
128185.398	97031.734	2397441.220
101488.961	-13231.664	2392558.407
100703.172	-152059.266	2387675.595
-19638.840	-11264.273	2382792.782
126145.883	-85476.000	2377909.970
116886.680	479.964	2373027.157
71964.203	128845.664	2368144.345
83242.391	108959.125	2363261.532
33272.039	-22744.225	2358378.720
193544.875	10199.533	2353495.907
9055.695	69814.680	2348613.095
108757.008	211554.547	2343730.282
16299.995	15382.192	2338847.470
20097.791	39724.305	2333964.657
44080.773	-92582.063	2329081.845
60204.590	26272.404	2324199.032
164237.531	18040.463	2319316.220
141826.672	19076.514	2314433.407
182210.531	1460.860	2309550.595
65381.336	-45869.574	2304667.782
8277.047	-28694.408	2299784.970
-94049.813	-6434.047	2294902.157
-26190.576	74953.906	2290019.345
105584.953	-9559.900	2285136.532
101523.984	-82573.570	2280253.720
69193.414	112103.258	2275370.907
89116.734	70511.367	2270488.095
16218.681	49530.277	2265605.282
187612.719	-65227.016	2260722.470
77619.484	-26271.668	2255839.657
39170.285	95374.672	2250956.845
291633.938	67503.367	2246074.032
83293.383	-45074.133	2241191.220
10340.157	31903.477	2236308.407
72778.625	145402.063	2231425.595
-16928.105	40.070	2226542.782
84651.883	-32314.059	2221659.970
179873.266	117662.750	2216777.157
111750.016	-18656.668	2211894.345
128503.977	21711.197	2207011.532
133686.156	-12422.446	2202128.720
-56587.957	-42692.973	2197245.907
151435.438	-65002.332	2192363.095
-5872.236	-2141.221	2187480.282
128714.813	157299.891	2182597.470
54752.387	-67206.492	2177714.657
184454.516	-47537.066	2172831.845
76677.469	8777.715	2167949.032
7570.490	84001.133	2163066.220
-191318.438	34887.332	2158183.407
19067.744	151501.516	2153300.595
208748.688	148939.219	2148417.782
17028.963	-48110.922	2143534.970
71961.359	-78196.672	2138652.157
95992.578	-167580.188	2133769.345
133282.297	130048.453	2128886.532
159797.078	-45750.703	2124003.720
180901.938	16691.904	2119120.907
23461.527	-52106.664	2114238.095
50917.992	5697.384	2109355.282
-523.686	104490.039	2104472.470
175631.250	14041.592	2099589.657
19972.514	8587.415	2094706.845
-8191.813	133344.031	2089824.032
24714.111	108269.281	2084941.220
154636.969	-104171.578	2080058.407
55630.145	129601.930	2075175.595
46390.074	7003.419	2070292.782
126799.211	-60115.953	2065409.970
60638.559	54598.699	2060527.157
156325.984	42370.813	2055644.345
