Data Point Listing of File C:\NTNMR\data\Dan\LiFe.5Mn.5PO4\[100]\P31 [100] 15deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	Hz
311799.781	134028.563	2499980.282
383746.531	-11333.438	2495097.470
247725.109	30988.018	2490214.657
402519.719	131855.438	2485331.845
596524.563	116688.656	2480449.032
130448.047	105852.727	2475566.220
200104.969	-10588.973	2470683.407
531496.688	107789.242	2465800.595
566757.875	-76301.117	2460917.782
528907.188	-84919.469	2456034.970
239979.469	171528.203	2451152.157
376327.938	-140683.750	2446269.345
228761.766	148081.219	2441386.532
568043.375	187216.984	2436503.720
410074.188	-58807.363	2431620.907
520090.375	525.576	2426738.095
267926.344	78723.883	2421855.282
453218.156	-128375.773	2416972.470
387016.813	43853.504	2412089.657
438184.969	-2231.365	2407206.845
532341.563	207630.313	2402324.032
283172.031	8086.340	2397441.220
235434.453	76184.234	2392558.407
346260.969	62270.035	2387675.595
359526.375	-52495.629	2382792.782
533831.250	144923.203	2377909.970
118378.906	124027.750	2373027.157
98721.320	-58088.840	2368144.345
488620.219	239360.094	2363261.532
491227.625	220413.266	2358378.720
307607.469	171813.219	2353495.907
379626.156	-56203.281	2348613.095
437732.563	47547.770	2343730.282
385131.469	-65208.262	2338847.470
542136.125	154424.406	2333964.657
484563.469	402239.344	2329081.845
364438.750	-91622.039	2324199.032
574869.688	-130219.820	2319316.220
399977.875	-13207.148	2314433.407
386479.688	90089.883	2309550.595
326122.625	-13553.894	2304667.782
637991.750	52236.168	2299784.970
412146.469	249083.625	2294902.157
375307.063	-57727.527	2290019.345
408668.813	52854.395	2285136.532
576327.125	80363.148	2280253.720
192646.531	55454.547	2275370.907
400966.875	350877.438	2270488.095
248787.266	-42554.625	2265605.282
476414.625	90548.320	2260722.470
239066.578	196278.875	2255839.657
425550.125	63825.570	2250956.845
380727.688	158171.188	2246074.032
671339.188	39869.445	2241191.220
413593.219	-151016.094	2236308.407
449655.219	67736.648	2231425.595
286120.438	-12406.719	2226542.782
423390.375	61291.160	2221659.970
361055.438	139951.359	2216777.157
347794.250	-82983.180	2211894.345
274958.188	153607.453	2207011.532
234855.109	39361.016	2202128.720
509028.813	-53825.906	2197245.907
398390.344	488535.563	2192363.095
654099.000	240700.125	2187480.282
410922.781	-49169.301	2182597.470
298719.375	-229443.531	2177714.657
432035.406	-114571.578	2172831.845
427983.406	30667.213	2167949.032
393025.781	348572.875	2163066.220
626734.188	149447.609	2158183.407
99078.664	93492.109	2153300.595
367229.531	79477.742	2148417.782
477666.625	155916.844	2143534.970
569513.688	55718.031	2138652.157
448420.656	-151673.094	2133769.345
275774.688	147570.125	2128886.532
509987.438	-35700.855	2124003.720
309854.313	156003.984	2119120.907
374969.813	-88128.586	2114238.095
407720.656	199916.141	2109355.282
676759.313	-23443.092	2104472.470
-5293.647	-20850.789	2099589.657
279035.063	-180792.016	2094706.845
387253.781	178626.313	2089824.032
125940.875	19585.650	2084941.220
650979.750	132838.156	2080058.407
434695.844	66374.523	2075175.595
119060.906	332357.813	2070292.782
413801.750	-207173.125	2065409.970
387360.250	149424.422	2060527.157
35074.762	139936.094	2055644.345
499651.125	35964.895	2050761.532
447224.500	-78363.328	2045878.720
512.329	-134948.000	2040995.907
436233.313	84605.492	2036113.095
386184.969	27330.773	2031230.282
24586.035	150394.063	2026347.470
195403.625	602063.750	2021464.657
407922.563	235079.047	2016581.845
305403.406	287764.125	2011699.032
278196.156	200743.484	2006816.220
243877.500	-155035.797	2001933.407
496447.750	-66715.938	1997050.595
493252.531	104740.141	1992167.782
89546.016	323237.063	1987284.970
-40353.520	-102417.070	1982402.157
558837.438	673964.313	1977519.345
314713.563	342984.625	1972636.532
190148.438	313358.500	1967753.720
279352.188	117708.422	1962870.907
637167.688	25171.969	1957988.095
409893.438	-133323.609	1953105.282
659371.563	488665.531	1948222.470
96486.906	190618.578	1943339.657
379421.000	313231.906	1938456.845
496979.188	184071.406	1933574.032
426580.625	317152.469	1928691.220
540196.750	-27372.000	1923808.407
313549.313	452943.469	1918925.595
430038.750	82945.195	1914042.782
378103.531	143096.266	1909159.970
217545.203	113338.555	1904277.157
166690.109	-215014.391	1899394.345
584945.813	396915.531	1894511.532
174399.063	328938.469	1889628.720
32258.900	375623.031	1884745.907
624737.125	272390.719	1879863.095
539908.188	-126139.500	1874980.282
557762.563	487727.781	1870097.470
328112.656	-141979.984	1865214.657
315405.844	239022.406	1860331.845
531667.750	203539.813	1855449.032
601755.063	187958.250	1850566.220
199645.484	195109.234	1845683.407
768311.063	278175.188	1840800.595
403136.375	436752.000	1835917.782
587898.188	-370528.500	1831034.970
155369.078	-311447.281	1826152.157
358769.063	11429.671	1821269.345
345784.500	163678.688	1816386.532
-109816.422	419942.063	1811503.720
479261.094	390640.188	1806620.907
424099.313	-57252.836	1801738.095
491751.813	-270107.531	1796855.282
102729.867	250016.266	1791972.470
584907.375	257332.500	1787089.657
333515.656	201557.781	1782206.845
405038.531	405839.969	1777324.032
169169.484	603795.625	1772441.220
221315.313	27230.717	1767558.407
405569.906	120575.977	1762675.595
349615.188	-180079.922	1757792.782
118653.281	22554.090	1752909.970
457604.500	226674.953	1748027.157
562172.375	114614.297	1743144.345
3151.791	317106.500	1738261.532
353774.906	-61382.648	1733378.720
105729.422	531373.750	1728495.907
170041.578	171259.266	1723613.095
200244.297	189504.359	1718730.282
427219.719	16541.178	1713847.470
197094.547	409682.031	1708964.657
