Data Point Listing of File C:\NTNMR\data\Dan\LiFePO4\[001]\Li7 [001] 45deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	ppm
15204.656	7471.563	8573.143
16809.906	-6306.750	8556.398
-19091.176	8474.055	8539.653
-19502.371	4711.000	8522.909
2768.895	18277.676	8506.164
11317.021	47501.516	8489.419
-4158.438	-13662.723	8472.674
3369.852	-13861.687	8455.930
-5611.699	275.660	8439.185
12309.473	7789.316	8422.440
-19898.809	-29726.908	8405.695
12905.555	-2993.746	8388.951
-22763.539	6443.609	8372.206
17925.875	21711.680	8355.461
15340.336	-8479.305	8338.716
6709.430	5544.164	8321.972
-1193.523	510.922	8305.227
4013.406	-15204.633	8288.482
-14339.758	-5756.273	8271.737
-2119.938	19426.219	8254.993
-7724.742	15189.914	8238.248
-30488.621	-2725.570	8221.503
-14484.547	-22391.297	8204.758
16706.928	-8559.977	8188.014
8908.078	-7054.023	8171.269
-12458.080	6084.586	8154.524
-11708.734	-6698.844	8137.779
-5.736	9693.164	8121.035
9792.297	-2679.570	8104.290
1535.988	29332.930	8087.545
8845.898	-19257.547	8070.800
1166.596	-14225.938	8054.056
38367.527	-12146.094	8037.311
667.723	10275.516	8020.566
18049.273	802.719	8003.821
-11663.216	16363.094	7987.077
5037.285	10845.512	7970.332
-13393.253	-2580.176	7953.587
-19035.076	8048.070	7936.842
-17670.553	-4154.773	7920.098
5046.720	16189.914	7903.353
-3765.963	1353.535	7886.608
1635.406	-12425.984	7869.863
-30868.492	-3086.949	7853.119
-29335.727	-3314.316	7836.374
-852.514	-5637.590	7819.629
-4678.046	6615.633	7802.884
6596.009	-9118.770	7786.140
-15972.371	4446.363	7769.395
5716.918	27344.908	7752.650
-7202.508	12276.930	7735.905
20544.223	855.555	7719.161
-55814.055	17298.000	7702.416
4213.548	4437.895	7685.671
35365.563	-20691.527	7668.926
-17847.225	22471.984	7652.182
1968.423	-6922.391	7635.437
3873.764	15005.531	7618.692
-17064.957	-13939.994	7601.947
-21123.535	2652.191	7585.203
-6459.620	1616.758	7568.458
-32519.053	-14704.961	7551.713
5821.894	-1108.078	7534.968
7904.667	-183.918	7518.224
-4724.752	-7863.545	7501.479
5620.821	9297.404	7484.734
-3502.966	2960.488	7467.989
3458.601	3191.969	7451.245
-10288.239	-33937.852	7434.500
-26752.400	12279.006	7417.755
-464.375	3937.227	7401.010
-6728.347	24302.912	7384.266
16157.557	63.281	7367.521
-8645.098	-8108.082	7350.776
-18014.328	-20668.918	7334.031
978.988	17183.596	7317.287
-12807.494	-6870.986	7300.542
-12944.035	-13146.217	7283.797
-15989.588	1341.613	7267.052
127.269	308.574	7250.308
12985.025	-10527.531	7233.563
6087.930	-914.785	7216.818
-24448.547	12054.756	7200.073
-9167.271	-2995.266	7183.329
-16709.223	6612.109	7166.584
-27346.848	20311.969	7149.839
-22495.355	30424.225	7133.094
-19775.928	-8841.303	7116.350
-6021.051	17974.021	7099.605
-7237.671	3976.852	7082.860
14903.717	-9096.371	7066.115
-12802.772	2720.930	7049.371
21460.629	-22391.443	7032.626
-8986.374	-7554.535	7015.881
5172.154	3811.551	6999.136
-645.687	22263.930	6982.392
-1147.219	9684.338	6965.647
40569.254	-2393.141	6948.902
1914.288	3444.398	6932.157
28440.742	-11655.313	6915.413
15584.586	-6024.742	6898.668
-1426.744	-3476.271	6881.923
16022.338	13425.518	6865.178
8235.609	18910.109	6848.434
-2087.570	42527.523	6831.689
2998.912	-25887.799	6814.944
33597.605	-2623.873	6798.199
38327.227	23817.830	6781.455
-28920.762	171.393	6764.710
5801.317	8143.449	6747.965
6766.713	-18653.826	6731.220
-3366.066	22105.797	6714.476
-12933.447	-29253.602	6697.731
1418.929	20472.092	6680.986
22894.201	3499.850	6664.241
609.227	-2163.053	6647.497
-31544.578	32871.031	6630.752
17484.309	16471.764	6614.007
22622.336	22842.500	6597.262
20271.605	-24752.973	6580.518
4746.064	-5553.824	6563.773
-21130.457	-924.992	6547.028
-11687.262	34442.070	6530.283
-1685.740	-4910.381	6513.539
5079.300	9613.516	6496.794
-7753.054	5662.670	6480.049
-14254.193	5681.709	6463.304
-18210.977	31506.848	6446.560
-25481.355	42805.672	6429.815
-35714.199	18313.668	6413.070
14497.027	6299.750	6396.325
-20032.607	-3318.744	6379.581
9040.326	3510.783	6362.836
2678.254	-14139.315	6346.091
-11480.225	20031.658	6329.346
-21138.914	-6176.480	6312.602
-10426.160	-7219.734	6295.857
17989.479	22580.654	6279.112
-11433.648	36470.531	6262.367
6690.048	-17501.387	6245.623
-12178.837	-9507.047	6228.878
-12444.701	19141.125	6212.133
22861.209	6934.646	6195.388
-43101.410	-33788.297	6178.644
3857.729	18672.086	6161.899
-26075.180	1337.861	6145.154
14234.340	14271.926	6128.409
-33606.336	30361.059	6111.665
-4695.794	31635.129	6094.920
-6740.441	37191.367	6078.175
-29530.188	19719.711	6061.430
-23609.305	-9523.936	6044.686
-20258.656	10923.514	6027.941
28950.467	16626.373	6011.196
-5557.687	11424.468	5994.451
-17414.736	35477.215	5977.707
-15037.926	5615.777	5960.962
3640.550	-13520.707	5944.217
-10339.400	15725.586	5927.472
-12638.549	22485.400	5910.728
-7358.066	-2065.687	5893.983
-11417.483	-6120.246	5877.238
543.946	21952.219	5860.493
-13310.098	13835.158	5843.749
-14142.979	10210.194	5827.004
-751.965	11185.273	5810.259
