Data Point Listing of File C:\NTNMR\data\Dan\LiFePO4\[010]\P31 [010] 90deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	Hz
56652.535	-9558.210	2499980.282
17392.988	23694.100	2495097.470
18926.803	11443.430	2490214.657
24842.961	-11203.908	2485331.845
54875.652	6152.989	2480449.032
26363.584	23162.482	2475566.220
13141.241	15631.168	2470683.407
28044.498	-7296.558	2465800.595
7677.190	-11036.441	2460917.782
15640.198	-15676.974	2456034.970
7351.332	15137.427	2451152.157
37359.406	-34820.168	2446269.345
31677.902	-28375.584	2441386.532
47911.777	25527.736	2436503.720
35987.266	22846.041	2431620.907
-4092.382	-18187.383	2426738.095
47090.309	-24305.881	2421855.282
32965.102	26649.602	2416972.470
27659.760	19660.168	2412089.657
10432.675	-15304.313	2407206.845
10192.829	15599.739	2402324.032
36911.129	22529.109	2397441.220
49449.809	22287.666	2392558.407
23618.381	15236.057	2387675.595
27937.996	4959.352	2382792.782
24673.799	36200.063	2377909.970
27115.773	8025.750	2373027.157
37367.141	-4460.522	2368144.345
21269.197	-5211.736	2363261.532
19732.018	18041.451	2358378.720
31440.844	-7797.247	2353495.907
51743.719	9423.211	2348613.095
35781.281	13549.689	2343730.282
25568.973	18695.189	2338847.470
44013.172	13032.568	2333964.657
20630.805	-18756.297	2329081.845
48834.430	1458.455	2324199.032
5510.438	-17292.838	2319316.220
34550.844	-2120.065	2314433.407
19361.758	-30038.691	2309550.595
29297.818	5376.692	2304667.782
53174.008	-25237.682	2299784.970
31377.992	40971.570	2294902.157
28533.182	1870.270	2290019.345
16536.402	15512.288	2285136.532
21197.438	11838.021	2280253.720
25109.207	24291.760	2275370.907
29993.605	10038.437	2270488.095
34886.168	-10283.662	2265605.282
14235.395	35436.773	2260722.470
36653.184	27940.184	2255839.657
20314.326	-8564.535	2250956.845
41713.793	17119.842	2246074.032
35526.035	3469.094	2241191.220
-3960.676	3022.500	2236308.407
49290.945	20293.219	2231425.595
10305.271	19345.844	2226542.782
13131.819	-15679.444	2221659.970
41417.145	4539.842	2216777.157
31354.869	-17427.471	2211894.345
26343.523	7246.924	2207011.532
40137.969	-2783.489	2202128.720
28383.023	16374.019	2197245.907
18713.938	5713.428	2192363.095
11252.167	-7547.786	2187480.282
37735.887	22918.006	2182597.470
36849.902	20121.953	2177714.657
25738.891	-12898.921	2172831.845
45233.543	11059.571	2167949.032
5350.584	22314.428	2163066.220
43222.344	1484.471	2158183.407
44583.199	6048.249	2153300.595
39822.336	1898.860	2148417.782
27959.352	22521.234	2143534.970
25828.217	-3684.958	2138652.157
19155.432	20902.742	2133769.345
54759.668	11567.372	2128886.532
38036.160	-860.148	2124003.720
15970.942	37882.031	2119120.907
-4666.610	-2832.568	2114238.095
20870.604	16567.063	2109355.282
36982.047	22115.746	2104472.470
-7802.635	13929.868	2099589.657
37545.074	12218.559	2094706.845
8194.330	3156.321	2089824.032
15917.886	26873.957	2084941.220
40057.223	16499.154	2080058.407
23936.387	-6301.287	2075175.595
38914.891	6652.600	2070292.782
37899.672	3951.821	2065409.970
18257.422	4186.321	2060527.157
16555.246	6815.985	2055644.345
37773.719	45414.191	2050761.532
60181.621	-4262.547	2045878.720
13267.207	-5511.890	2040995.907
63156.883	49929.320	2036113.095
46738.563	26834.090	2031230.282
45657.395	-32429.543	2026347.470
44705.293	9632.966	2021464.657
10069.342	-7819.066	2016581.845
55894.414	23503.070	2011699.032
19192.596	-13632.630	2006816.220
23091.266	82102.633	2001933.407
-3721.998	1711.823	1997050.595
51808.004	26269.432	1992167.782
14112.997	-5475.882	1987284.970
39749.672	14911.373	1982402.157
15563.684	11048.966	1977519.345
35866.512	43595.602	1972636.532
27381.018	-2795.998	1967753.720
5347.066	9537.612	1962870.907
55092.434	16155.429	1957988.095
3149.113	-24383.545	1953105.282
35450.309	-5267.896	1948222.470
39004.090	-6333.608	1943339.657
-8146.017	10250.096	1938456.845
55341.664	-2849.318	1933574.032
29577.119	-8970.293	1928691.220
54567.363	53428.906	1923808.407
52517.730	11197.849	1918925.595
-1334.848	26280.504	1914042.782
41225.285	25425.373	1909159.970
79146.461	13673.281	1904277.157
24721.082	-11959.772	1899394.345
44122.027	40784.363	1894511.532
20988.209	16526.971	1889628.720
6944.716	40055.984	1884745.907
18295.354	-28679.848	1879863.095
4871.193	15406.888	1874980.282
31345.756	28841.451	1870097.470
2406.279	10592.086	1865214.657
75812.867	24170.406	1860331.845
24588.945	832.774	1855449.032
44379.156	10425.387	1850566.220
39714.574	-23711.996	1845683.407
-35519.734	30049.455	1840800.595
8221.485	15599.177	1835917.782
62409.492	-4528.917	1831034.970
20261.820	-10550.892	1826152.157
34031.625	37579.160	1821269.345
13757.829	1296.561	1816386.532
43036.676	22004.273	1811503.720
6537.869	27053.006	1806620.907
40868.172	30652.365	1801738.095
2150.254	29387.428	1796855.282
70035.023	-12362.579	1791972.470
42278.555	61306.926	1787089.657
25238.580	16517.418	1782206.845
28247.072	-31686.313	1777324.032
30933.072	-3229.413	1772441.220
28269.139	24176.037	1767558.407
29956.436	59824.465	1762675.595
70025.234	-7717.895	1757792.782
9302.532	-23430.156	1752909.970
16647.244	46349.137	1748027.157
12705.838	-8053.568	1743144.345
51114.152	33497.258	1738261.532
60310.492	-10831.739	1733378.720
1297.396	53005.109	1728495.907
50634.988	9976.765	1723613.095
29423.377	47113.215	1718730.282
