Data Point Listing of File C:\NTNMR\data\Dan\LiFePO4\[100] take 2\Li7 [100] 105deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	ppm
19085.625	-8205.922	8573.143
78.250	-54360.824	8556.398
24056.750	-29147.453	8539.653
29093.359	-62397.141	8522.909
18202.531	-54790.977	8506.164
17526.672	-8871.859	8489.419
37024.922	-37717.289	8472.674
-25462.734	-16718.695	8455.930
17549.063	-25328.492	8439.185
33770.313	-39639.367	8422.440
9661.703	-37688.203	8405.695
21926.031	-36129.961	8388.951
15877.422	-33278.023	8372.206
17086.531	-57827.379	8355.461
2076.000	-48655.922	8338.716
10337.828	-31511.668	8321.972
26000.031	-36254.930	8305.227
24494.578	-15640.703	8288.482
-2640.625	-45689.547	8271.737
7872.695	-58159.109	8254.993
31525.313	-26889.152	8238.248
1248.570	-48941.316	8221.503
28361.734	-62963.430	8204.758
34662.375	-51833.023	8188.014
12740.398	-45270.918	8171.269
37214.641	-39506.215	8154.524
-6676.039	-52079.063	8137.779
12060.039	-16291.477	8121.035
-14782.977	-32449.195	8104.290
12295.008	-45969.176	8087.545
14647.625	-33482.770	8070.800
11026.617	-68767.234	8054.056
25593.117	-3709.449	8037.311
24833.797	-21719.238	8020.566
32830.383	-18010.943	8003.821
10745.789	-42682.117	7987.077
11069.352	-42735.961	7970.332
33940.891	-48129.316	7953.587
35585.172	-26971.371	7936.842
-584.992	-16517.930	7920.098
21873.555	-27830.301	7903.353
59966.703	-42531.609	7886.608
1564.055	-23890.195	7869.863
61706.402	-29609.359	7853.119
-4579.766	-39721.094	7836.374
37816.508	-42874.844	7819.629
29196.844	-27255.701	7802.884
11867.371	-54982.258	7786.140
17291.043	-44003.293	7769.395
31781.309	-16519.105	7752.650
14742.414	-48530.285	7735.905
23645.484	-41601.531	7719.161
25312.293	-36299.648	7702.416
34415.355	-75302.281	7685.671
64053.320	-641.539	7668.926
-4099.156	-31696.000	7652.182
3753.313	-28843.439	7635.437
16261.980	-40460.156	7618.692
27020.344	-45534.609	7601.947
26824.383	3542.734	7585.203
8207.125	-54874.961	7568.458
9031.375	-31827.133	7551.713
46026.508	-43248.438	7534.968
16412.500	-66100.672	7518.224
32971.656	-45429.309	7501.479
8154.227	-3534.613	7484.734
10717.031	-14784.824	7467.989
45806.063	-40574.164	7451.245
60594.488	-61325.227	7434.500
50250.906	-11152.723	7417.755
-12735.465	-31997.785	7401.010
-2135.461	-44340.367	7384.266
35340.285	-48665.328	7367.521
29646.012	-36100.352	7350.776
19543.355	-50180.961	7334.031
5635.352	-78077.047	7317.287
