Data Point Listing of File C:\NTNMR\data\Dan\LiFePO4\[100] take 2\P31 [100] 60deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	Hz
56919.141	30983.691	2499980.282
75352.469	5834.691	2495097.470
67607.922	30561.354	2490214.657
62772.453	17503.002	2485331.845
29908.545	4386.697	2480449.032
48410.945	26200.623	2475566.220
24313.100	12301.770	2470683.407
41158.945	26950.879	2465800.595
50712.926	-3108.027	2460917.782
65945.359	-5927.117	2456034.970
5126.997	-245.738	2451152.157
30695.227	22339.648	2446269.345
44794.906	-24253.234	2441386.532
29844.695	19486.885	2436503.720
16064.480	7594.530	2431620.907
42024.422	40541.434	2426738.095
47734.262	-5769.946	2421855.282
63823.668	9128.279	2416972.470
61452.789	23155.584	2412089.657
31091.365	5432.479	2407206.845
38857.875	-14858.402	2402324.032
52386.258	-3150.664	2397441.220
35984.359	17365.887	2392558.407
67506.609	51497.652	2387675.595
58985.316	-1043.158	2382792.782
49067.660	1657.838	2377909.970
28568.539	12643.397	2373027.157
55095.555	33008.977	2368144.345
57054.641	21349.381	2363261.532
22084.426	-11388.201	2358378.720
39327.535	18016.498	2353495.907
13341.949	-15098.211	2348613.095
57059.922	-4732.401	2343730.282
43509.336	12555.719	2338847.470
32031.535	8271.946	2333964.657
37947.523	19356.805	2329081.845
30478.021	4140.251	2324199.032
30915.828	2249.599	2319316.220
36741.727	7450.810	2314433.407
30499.377	-1669.182	2309550.595
30106.070	-11796.221	2304667.782
14019.764	-17218.457	2299784.970
57664.441	6197.458	2294902.157
28221.648	-10997.397	2290019.345
32718.580	18667.441	2285136.532
46696.934	15786.257	2280253.720
13085.126	-16514.963	2275370.907
62807.914	31633.846	2270488.095
30174.996	-19931.666	2265605.282
11132.804	-20205.994	2260722.470
27165.393	48096.594	2255839.657
41799.715	-7.286	2250956.845
17559.934	-18501.439	2246074.032
62702.492	2569.694	2241191.220
27969.744	12692.593	2236308.407
46534.348	24843.381	2231425.595
46325.309	13668.651	2226542.782
42930.258	21179.410	2221659.970
50641.711	10655.661	2216777.157
36163.848	4957.176	2211894.345
32894.730	8558.200	2207011.532
45524.758	40278.809	2202128.720
30997.801	2513.698	2197245.907
34860.234	-28817.174	2192363.095
24795.613	20041.160	2187480.282
33709.480	10412.517	2182597.470
49129.328	11486.753	2177714.657
43526.691	-7294.391	2172831.845
40157.750	38882.340	2167949.032
88162.766	-1823.401	2163066.220
28499.770	16268.720	2158183.407
40762.215	35667.770	2153300.595
54889.004	4342.462	2148417.782
30944.244	124.366	2143534.970
31005.934	-13772.229	2138652.157
