Data Point Listing of File C:\NTNMR\data\Dan\LiMnPO4\Li7 [001] 135deg.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	ppm
419423.656	-92429.766	8573.054
443953.688	-111611.945	8539.564
429577.563	1219.300	8506.075
398265.688	-62495.559	8472.586
411175.906	-77183.656	8439.097
438368.094	-18158.535	8405.608
416988.594	74566.578	8372.119
434566.500	-59932.469	8338.630
484685.344	70895.406	8305.140
444025.875	13360.479	8271.651
470670.531	34813.039	8238.162
411699.344	-13861.525	8204.673
406527.313	40743.105	8171.184
411879.875	46211.539	8137.695
402233.500	21324.602	8104.205
410314.906	58433.355	8070.716
410084.188	54896.793	8037.227
437340.219	120796.961	8003.738
417448.844	64607.570	7970.249
428717.281	-47949.598	7936.760
375866.594	5436.128	7903.271
469702.281	55945.563	7869.781
446336.031	-14609.842	7836.292
394470.156	-31963.559	7802.803
356778.125	-2102.164	7769.314
310602.344	21877.051	7735.825
480596.594	105003.188	7702.336
470277.250	-23629.016	7668.846
471923.406	27586.842	7635.357
498134.938	155886.109	7601.868
410646.500	142450.031	7568.379
439138.750	58422.508	7534.890
465652.219	162140.922	7501.401
461425.156	146839.219	7467.912
465339.188	85039.531	7434.422
425228.469	128424.664	7400.933
417288.281	3568.354	7367.444
391874.531	39161.844	7333.955
491308.969	173473.484	7300.466
445105.313	12331.495	7266.977
275257.031	32372.910	7233.488
453212.719	195865.047	7199.998
472763.281	55297.168	7166.509
460573.875	29135.998	7133.020
416536.094	143035.953	7099.531
396149.906	81947.625	7066.042
448391.500	84051.164	7032.553
496053.250	150250.844	6999.063
464529.781	121121.008	6965.574
457279.656	122820.484	6932.085
496029.375	38702.332	6898.596
479022.344	179103.141	6865.107
398945.313	142019.125	6831.618
443951.500	120412.625	6798.129
455471.719	167740.188	6764.639
485463.469	101426.578	6731.150
417064.969	141858.344	6697.661
372892.531	167287.703	6664.172
441614.281	125015.133	6630.683
480402.656	178379.563	6597.194
429234.250	74218.047	6563.705
406849.156	102073.727	6530.215
488284.469	102053.742	6496.726
399615.813	121303.258	6463.237
440294.719	294434.844	6429.748
505228.094	80845.797	6396.259
446437.750	146260.688	6362.770
369558.656	141448.859	6329.280
451648.688	35422.621	6295.791
434484.813	195472.641	6262.302
382152.969	280365.156	6228.813
436388.125	263011.688	6195.324
438933.469	163239.078	6161.835
503406.688	87731.852	6128.346
414109.313	202024.391	6094.856
564499.563	159527.188	6061.367
486478.438	115918.453	6027.878
473024.594	182534.656	5994.389
425700.813	174212.188	5960.900
