Data Point Listing of File C:\NTNMR\data\Dan\LiMnPO4\Li7 [001] 30deg take 2.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	ppm
177134.922	3637.441	8573.054
142509.094	-56687.621	8539.564
143312.500	29977.469	8506.075
215981.781	-50087.738	8472.586
158604.938	-15948.633	8439.097
218347.719	-13460.455	8405.608
166523.063	1795.679	8372.119
120334.969	17890.531	8338.630
192260.313	-2371.947	8305.140
138504.063	15166.392	8271.651
38473.438	-38687.785	8238.162
265737.031	70987.141	8204.673
182242.828	29729.107	8171.184
158465.969	-35194.863	8137.695
129068.438	31690.260	8104.205
119055.891	-22377.217	8070.716
132766.922	32404.689	8037.227
267340.875	-2837.142	8003.738
191273.859	-13359.758	7970.249
133939.078	7073.541	7936.760
254004.031	46445.215	7903.271
198604.391	107047.297	7869.781
213367.547	39661.168	7836.292
158662.688	36053.156	7802.803
203453.359	5044.648	7769.314
222633.750	-36324.051	7735.825
162397.156	7151.290	7702.336
135172.000	-58491.492	7668.846
177087.719	35282.289	7635.357
128221.367	27160.568	7601.868
139309.641	35974.523	7568.379
248547.672	6153.878	7534.890
126090.695	-87128.789	7501.401
177324.234	27915.279	7467.912
244780.047	58627.449	7434.422
171881.375	77959.453	7400.933
220365.000	23020.945	7367.444
117283.938	61550.035	7333.955
138602.828	-16144.996	7300.466
125368.281	55111.234	7266.977
206673.766	-3833.570	7233.488
175831.109	-3256.357	7199.998
127637.641	100516.547	7166.509
158936.313	-13817.982	7133.020
146467.250	74039.930	7099.531
202460.516	-31043.410	7066.042
142898.344	97258.758	7032.553
243056.797	-41108.871	6999.063
196947.672	57557.773	6965.574
191154.578	103604.727	6932.085
194609.344	17997.705	6898.596
173424.078	71668.852	6865.107
139219.594	84998.852	6831.618
288375.219	55563.637	6798.129
172538.875	98884.578	6764.639
215505.594	74071.227	6731.150
131386.094	77167.734	6697.661
207301.438	-16011.211	6664.172
142252.047	-472.904	6630.683
165261.844	72392.523	6597.194
81052.633	119833.078	6563.705
113012.789	101829.117	6530.215
184968.922	43862.070	6496.726
101957.930	92045.492	6463.237
129144.195	35843.547	6429.748
201506.734	20730.303	6396.259
178579.391	60509.719	6362.770
198201.328	2612.153	6329.280
115534.227	70592.961	6295.791
225359.063	99582.289	6262.302
97596.906	78857.055	6228.813
181370.531	34704.859	6195.324
108061.945	-6815.683	6161.835
140140.031	90336.602	6128.346
228985.719	-32595.457	6094.856
198785.516	-6863.208	6061.367
204299.688	-37458.059	6027.878
78082.563	56037.012	5994.389
182555.406	21485.488	5960.900
179835.156	134636.719	5927.411
95877.773	-29140.299	5893.921
67237.703	84953.703	5860.432
248323.078	12873.906	5826.943
261375.063	56207.191	5793.454
226375.406	58151.520	5759.965
132384.891	127462.117	5726.476
132264.656	167620.734	5692.987
54514.492	27947.160	5659.497
176076.469	70853.750	5626.008
114667.039	223408.047	5592.519
24756.035	88969.383	5559.030
214679.156	122618.602	5525.541
197769.516	50918.473	5492.052
135555.203	50213.578	5458.563
104939.563	79076.836	5425.073
245144.344	130534.203	5391.584
40184.750	117147.391	5358.095
136698.469	97163.023	5324.606
122439.492	106003.195	5291.117
55693.813	65691.336	5257.628
165403.344	108943.633	5224.138
160467.391	201357.734	5190.649
230820.891	166552.922	5157.160
146244.109	131068.969	5123.671
79143.766	188253.188	5090.182
142966.703	108347.375	5056.693
241538.875	205274.609	5023.204
104046.297	162171.609	4989.714
148674.734	162001.734	4956.225
167033.078	106583.117	4922.736
158131.547	58433.859	4889.247
151941.219	22148.314	4855.758
258843.250	100145.539	4822.269
92125.172	57230.438	4788.780
178943.641	172722.063	4755.290
193296.203	107994.938	4721.801
247169.000	117022.586	4688.312
90740.602	132035.781	4654.823
170146.719	88667.328	4621.334
100831.469	177442.453	4587.845
94244.328	115845.445	4554.355
177640.234	164015.266	4520.866
239980.203	114908.453	4487.377
75646.336	222638.531	4453.888
181012.141	109933.789	4420.399
154055.906	123303.023	4386.910
162094.094	161814.750	4353.421
236698.781	116147.281	4319.931
192067.063	40979.668	4286.442
198159.094	188282.031	4252.953
194947.094	140083.813	4219.464
160569.891	177630.609	4185.975
145317.063	224732.047	4152.486
300817.219	78729.664	4118.997
43919.285	142671.406	4085.507
163793.609	100774.523	4052.018
134532.531	167851.500	4018.529
160683.859	144496.781	3985.040
212209.859	232552.578	3951.551
85581.641	215943.219	3918.062
172169.047	146385.625	3884.572
100747.797	163845.547	3851.083
123347.258	68463.953	3817.594
102757.719	144085.453	3784.105
77157.742	242915.688	3750.616
140826.750	189496.953	3717.127
192110.859	214375.750	3683.638
177249.375	240306.656	3650.148
163813.219	265665.969	3616.659
74186.766	243786.641	3583.170
47585.742	309997.313	3549.681
123473.578	230349.484	3516.192
220327.688	114424.477	3482.703
149374.484	194511.844	3449.213
240369.250	209624.000	3415.724
261862.375	170460.391	3382.235
204208.422	265762.906	3348.746
77866.656	195251.672	3315.257
178851.859	176422.938	3281.768
95282.055	212217.703	3248.279
254764.250	285698.969	3214.789
202502.844	181295.125	3181.300
137448.500	165776.547	3147.811
210050.203	245640.672	3114.322
185240.828	258338.125	3080.833
178042.234	129093.344	3047.344
187217.547	311300.875	3013.855
109625.398	245494.703	2980.365
207591.391	190122.250	2946.876
116155.219	111451.180	2913.387
128469.258	127604.914	2879.898
152648.906	127243.625	2846.409
171570.703	227705.891	2812.920
62469.980	268909.969	2779.430
151509.563	252659.250	2745.941
115246.297	176394.016	2712.452
29747.131	137320.125	2678.963
142845.875	240784.484	2645.474
145174.438	220372.078	2611.985
127173.797	231923.844	2578.496
187793.953	400060.813	2545.006
113713.406	360428.594	2511.517
228315.234	244754.641	2478.028
101459.734	320401.406	2444.539
90421.664	230273.234	2411.050
123517.273	343368.719	2377.561
93274.164	305769.906	2344.072
239686.625	304717.531	2310.582
61987.934	313344.375	2277.093
57369.145	413993.063	2243.604
179791.328	331977.719	2210.115
153240.922	334066.781	2176.626
187105.422	410559.063	2143.137
147057.281	261788.516	2109.647
145921.469	344296.000	2076.158
117048.094	300656.063	2042.669
275413.500	309464.469	2009.180
42883.496	424629.781	1975.691
84646.859	522812.188	1942.202
104430.961	373354.781	1908.713
191746.734	311368.875	1875.223
52207.781	384806.656	1841.734
82418.461	383285.188	1808.245
58660.512	482569.406	1774.756
108123.992	344671.281	1741.267
87516.609	429861.938	1707.778
120251.586	324867.438	1674.288
117176.227	480002.125	1640.799
119686.148	411795.250	1607.310
