Data Point Listing of File C:\NTNMR\data\Dan\LiMnPO4\Li7 [001] 45deg take 2.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	ppm
304720.781	98322.141	8573.054
308184.563	27830.975	8539.564
349139.656	2414.913	8506.075
257251.797	-121726.617	8472.586
256341.844	-38383.941	8439.097
301474.438	-13893.377	8405.608
310526.656	-6989.840	8372.119
299996.500	148499.891	8338.630
388335.031	-8243.021	8305.140
289665.781	-30372.107	8271.651
298399.250	65859.414	8238.162
268285.094	43360.625	8204.673
279936.094	31272.068	8171.184
340653.688	34376.574	8137.695
238219.078	19547.297	8104.205
244130.000	33630.406	8070.716
270931.656	92766.609	8037.227
333956.781	31354.115	8003.738
340693.094	-113244.891	7970.249
224916.547	-4199.739	7936.760
293957.156	113124.578	7903.271
302713.156	12510.838	7869.781
266207.656	40334.641	7836.292
389830.219	42172.836	7802.803
286291.969	-1854.775	7769.314
275569.594	60637.656	7735.825
275442.625	-13856.402	7702.336
313517.156	88100.844	7668.846
288163.938	-1475.957	7635.357
354892.594	135477.141	7601.868
292302.438	64380.066	7568.379
253014.141	1435.310	7534.890
257726.688	-3214.796	7501.401
320926.031	98204.922	7467.912
312876.875	54102.098	7434.422
402803.500	-38375.980	7400.933
324321.688	94172.844	7367.444
325755.281	130175.617	7333.955
337779.969	47212.922	7300.466
257755.047	116767.375	7266.977
351955.563	91213.141	7233.488
338580.156	39086.996	7199.998
335515.031	124414.484	7166.509
274632.031	-9121.506	7133.020
211084.016	98348.359	7099.531
240102.250	-1146.262	7066.042
198261.641	35189.781	7032.553
197986.203	10076.376	6999.063
256748.734	10748.752	6965.574
265113.969	-6051.178	6932.085
281581.344	39915.031	6898.596
204485.328	51082.516	6865.107
328625.844	90336.781	6831.618
240827.859	111441.078	6798.129
312151.750	19728.549	6764.639
303427.469	200697.266	6731.150
296456.375	202583.047	6697.661
275028.406	94224.164	6664.172
382655.750	92793.969	6630.683
337543.844	145549.344	6597.194
307716.344	49636.918	6563.705
221408.641	107938.977	6530.215
335730.656	143845.266	6496.726
271735.188	101075.219	6463.237
294546.813	179692.109	6429.748
241849.578	87453.406	6396.259
150644.313	76213.633	6362.770
353386.063	63533.965	6329.280
319832.938	157273.000	6295.791
221738.719	35618.949	6262.302
245156.750	131963.094	6228.813
325278.438	110767.547	6195.324
284547.875	216178.313	6161.835
229179.703	43204.520	6128.346
238324.453	165505.688	6094.856
266468.469	139826.594	6061.367
339392.875	94870.625	6027.878
268901.219	123813.711	5994.389
288219.281	167533.828	5960.900
192300.375	67846.102	5927.411
283222.938	283335.406	5893.921
217764.219	33534.133	5860.432
245653.422	177823.375	5826.943
215646.578	211488.453	5793.454
377078.906	197070.297	5759.965
187067.109	158950.578	5726.476
251252.750	254499.563	5692.987
373053.031	243733.625	5659.497
380414.781	105725.805	5626.008
256508.875	53589.703	5592.519
302019.781	197693.391	5559.030
268142.313	139185.359	5525.541
279939.969	203544.156	5492.052
204525.625	157126.406	5458.563
262468.438	188208.234	5425.073
302259.375	144983.781	5391.584
265366.406	227977.781	5358.095
82382.711	200454.328	5324.606
300247.250	303385.656	5291.117
361590.031	14460.263	5257.628
316596.281	197829.203	5224.138
314200.125	250132.406	5190.649
404067.875	247985.906	5157.160
283351.813	264858.906	5123.671
177065.484	192703.266	5090.182
327209.125	155891.422	5056.693
225866.891	250206.047	5023.204
310328.844	186441.875	4989.714
204512.750	117621.945	4956.225
246188.281	215289.656	4922.736
217435.094	287667.125	4889.247
319697.156	355522.500	4855.758
265332.250	236749.656	4822.269
371466.344	268220.844	4788.780
193472.219	192157.297	4755.290
263534.875	224430.469	4721.801
343207.813	288714.844	4688.312
204607.281	178147.203	4654.823
301055.656	273382.219	4621.334
315523.500	205072.328	4587.845
165604.578	196553.266	4554.355
412484.906	411948.750	4520.866
139752.094	153141.016	4487.377
311315.750	290028.375	4453.888
156542.531	242141.703	4420.399
296077.750	283864.563	4386.910
363616.219	176748.266	4353.421
251036.906	224935.094	4319.931
383431.438	341346.406	4286.442
144429.578	303863.938	4252.953
230813.500	285917.344	4219.464
383133.688	291125.125	4185.975
310217.438	322997.469	4152.486
288878.063	315042.406	4118.997
270142.125	368754.969	4085.507
392305.969	287067.375	4052.018
278023.531	297441.406	4018.529
273645.719	303027.063	3985.040
341409.125	324795.656	3951.551
392516.531	249606.234	3918.062
305773.656	323338.406	3884.572
173399.234	226079.688	3851.083
249475.281	315343.406	3817.594
275156.844	317602.438	3784.105
104755.492	283367.594	3750.616
154706.813	374763.063	3717.127
306545.656	430099.750	3683.638
311355.375	318371.656	3650.148
281634.969	234419.484	3616.659
247789.563	298970.563	3583.170
220652.266	185771.625	3549.681
265385.156	340560.188	3516.192
169465.172	500451.969	3482.703
332122.750	379831.531	3449.213
368703.594	294129.563	3415.724
279907.031	306349.969	3382.235
278804.156	457706.594	3348.746
118018.398	445294.250	3315.257
162077.516	378818.594	3281.768
360329.281	421309.125	3248.279
310265.219	394305.625	3214.789
236422.141	410658.469	3181.300
139516.422	328435.750	3147.811
210185.938	290925.906	3114.322
175916.078	559287.063	3080.833
331657.813	630292.063	3047.344
317357.719	453020.375	3013.855
200381.344	456329.813	2980.365
217640.297	315328.469	2946.876
221727.063	494967.563	2913.387
296129.125	551655.688	2879.898
274200.375	467993.125	2846.409
213583.391	431816.344	2812.920
305138.313	575202.688	2779.430
366325.000	551795.688	2745.941
310713.000	453565.406	2712.452
314065.375	495223.344	2678.963
264526.031	429096.375	2645.474
197773.797	562616.313	2611.985
202941.016	498647.406	2578.496
329804.250	459276.219	2545.006
367808.656	550290.188	2511.517
241072.234	437883.375	2478.028
252003.766	626801.438	2444.539
293459.563	529657.875	2411.050
281222.031	566076.625	2377.561
294355.406	546903.938	2344.072
170883.219	529437.563	2310.582
193195.063	509583.094	2277.093
265380.188	572477.688	2243.604
239242.813	733810.250	2210.115
286322.656	587799.313	2176.626
162427.016	426130.844	2143.137
165723.766	677850.875	2109.647
343017.250	618108.688	2076.158
93832.539	695933.188	2042.669
220461.438	758376.813	2009.180
158645.516	683210.375	1975.691
214758.656	686153.625	1942.202
190074.531	751058.813	1908.713
371770.000	721844.375	1875.223
327750.531	866409.125	1841.734
239509.625	714986.500	1808.245
283861.719	774095.438	1774.756
340712.469	710449.688	1741.267
182888.453	741684.250	1707.778
386896.313	726523.188	1674.288
256289.453	867764.250	1640.799
111556.188	837573.500	1607.310
398049.750	808448.000	1573.821
251350.172	810061.625	1540.332
230764.891	815166.688	1506.843
327467.813	845868.063	1473.354
211633.266	857856.063	1439.864
226391.484	873139.500	1406.375
219944.281	1063354.875	1372.886
408972.719	919374.813	1339.397
277455.688	1008522.688	1305.908
235551.609	1078885.250	1272.419
160993.672	1043791.688	1238.930
280169.938	1006155.875	1205.440
135741.875	1100021.000	1171.951
322830.906	1067049.000	1138.462
269008.281	1150531.250	1104.973
173313.797	1106428.000	1071.484
125214.102	1210588.750	1037.995
180235.406	1219762.625	1004.505
241224.578	1228513.750	971.016
255762.656	1149055.125	937.527
321512.281	1446704.250	904.038
458533.063	1327595.750	870.549
231493.141	1384390.500	837.060
356768.781	1400062.000	803.571
247266.063	1640886.125	770.081
215384.797	1406562.500	736.592
259930.406	1666296.125	703.103
287372.594	1692186.375	669.614
425573.656	1758895.500	636.125
440029.219	1758588.500	602.636
345333.500	1844479.250	569.147
363810.281	1901705.000	535.657
324373.156	2001131.625	502.168
388566.844	2074377.750	468.679
415365.625	2189202.500	435.190
581531.625	2261333.750	401.701
559456.063	2407145.000	368.212
718750.063	2476053.750	334.722
443034.313	2745115.500	301.233
645705.000	2865031.500	267.744
874499.313	3137646.000	234.255
851698.125	3063822.250	200.766
1013792.813	3548177.000	167.277
1296155.500	3783509.500	133.788
1959832.625	3857545.500	100.298
2416620.750	3783694.750	66.809
2583557.000	3697997.750	33.320
2981858.250	3729328.250	-0.169
3327725.750	3558759.000	-33.658
3514320.750	3356835.000	-67.147
3495908.250	3268339.500	-100.636
3811407.250	3011260.250	-134.126
4063279.250	3100053.000	-167.615
4478526.000	3207577.000	-201.104
5040178.500	2912624.500	-234.593
5500260.000	2475015.750	-268.082
5676338.000	1815543.000	-301.571
5804360.000	1397308.875	-335.061
5928822.000	1032235.313	-368.550
5877074.500	202439.703	-402.039
5512998.000	-40252.898	-435.528
5280049.000	-207702.563	-469.017
5207646.000	46170.461	-502.506
5589713.500	-477873.063	-535.995
5542456.000	-709518.063	-569.485
5348543.000	-1113014.250	-602.974
5305295.000	-1414891.125	-636.463
5238163.000	-1980133.625	-669.952
4953308.500	-2322798.500	-703.441
4587276.000	-2690228.500	-736.930
4205688.500	-2905436.250	-770.420
3841128.000	-2976592.250	-803.909
3459275.500	-3101820.250	-837.398
3366808.500	-3062055.250	-870.887
2993772.250	-3091957.750	-904.376
