Data Point Listing of File C:\NTNMR\data\Dan\LiMnPO4\[001]\P31 [001] 120deg.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
408721.094	-87942.547	999980.282
379296.406	-89542.281	996074.032
398433.813	55482.695	992167.782
527070.938	187971.188	988261.532
507946.563	-126888.266	984355.282
121277.750	23424.063	980449.032
480266.531	42031.262	976542.782
230826.234	-69606.961	972636.532
444593.969	90938.523	968730.282
515062.125	78980.523	964824.032
577149.688	141418.281	960917.782
292093.719	-100914.469	957011.532
430904.563	121741.961	953105.282
520251.438	60784.180	949199.032
356468.469	82321.758	945292.782
479315.688	202210.297	941386.532
283453.844	158294.047	937480.282
501119.438	-56179.859	933574.032
289049.563	117972.492	929667.782
220716.031	254066.891	925761.532
337585.406	-77142.102	921855.282
451226.531	259133.625	917949.032
304666.125	50982.066	914042.782
441487.219	51985.336	910136.532
151223.297	42685.418	906230.282
445099.531	-112564.656	902324.032
474199.125	25531.141	898417.782
517579.063	28958.613	894511.532
394195.406	51613.391	890605.282
349589.406	234762.750	886699.032
287025.750	85823.539	882792.782
442571.063	36772.082	878886.532
556386.000	-85828.266	874980.282
524617.375	164755.297	871074.032
402270.063	206508.469	867167.782
512885.438	30579.076	863261.532
205661.828	224961.219	859355.282
439631.063	231806.922	855449.032
280705.719	108083.820	851542.782
516985.313	22389.121	847636.532
280619.063	64379.406	843730.282
171152.672	351389.594	839824.032
309608.094	-18767.506	835917.782
213776.563	-97003.008	832011.532
289713.594	130804.266	828105.282
273395.094	137246.078	824199.032
523851.906	387280.750	820292.782
393452.406	113710.906	816386.532
429108.969	119026.984	812480.282
316782.688	61834.910	808574.032
129493.242	331577.250	804667.782
210881.078	460392.875	800761.532
337664.344	-45890.828	796855.282
498835.250	244481.219	792949.032
340819.531	350654.250	789042.782
687978.563	-50132.527	785136.532
192004.766	376005.281	781230.282
200155.359	30148.529	777324.032
750135.563	271998.156	773417.782
560354.500	202851.953	769511.532
473943.625	359934.875	765605.282
549943.188	317737.781	761699.032
463250.188	193879.641	757792.782
421142.938	40618.836	753886.532
301080.844	403617.750	749980.282
355545.188	127418.914	746074.032
235150.016	446198.969	742167.782
524201.219	161297.641	738261.532
485447.563	143080.500	734355.282
385970.344	369726.625	730449.032
404812.000	-128577.906	726542.782
529119.063	341885.438	722636.532
244141.891	-53397.070	718730.282
373677.906	287787.688	714824.032
471002.719	-50013.063	710917.782
317365.625	-87462.508	707011.532
119530.711	119068.938	703105.282
328656.531	173058.625	699199.032
464126.375	615087.438	695292.782
446783.344	258939.656	691386.532
365316.188	35052.398	687480.282
546475.188	311340.313	683574.032
218333.172	324528.094	679667.782
85095.195	238223.672	675761.532
720777.063	258297.891	671855.282
159918.422	182349.453	667949.032
383260.531	312120.031	664042.782
264277.375	403846.156	660136.532
483294.500	420307.188	656230.282
351949.313	417546.375	652324.032
614931.625	359123.594	648417.782
343494.313	535788.438	644511.532
87439.719	345635.188	640605.282
596996.813	329471.875	636699.032
70898.750	45236.348	632792.782
404936.938	395615.531	628886.532
396340.406	314796.438	624980.282
446349.719	-149948.078	621074.032
439922.719	276808.125	617167.782
262620.625	103662.648	613261.532
452018.563	369609.906	609355.282
470851.094	418580.125	605449.032
637175.250	430573.063	601542.782
187351.188	827868.063	597636.532
571575.375	301605.375	593730.282
258056.156	249003.313	589824.032
395622.813	520902.781	585917.782
708922.500	421096.125	582011.532
417191.063	482012.031	578105.282
132810.922	148246.922	574199.032
461093.844	414110.031	570292.782
-89118.320	199137.766	566386.532
697074.000	244083.578	562480.282
322748.531	-57183.742	558574.032
1082004.250	316301.031	554667.782
429204.281	-90604.719	550761.532
72148.641	684016.188	546855.282
153612.109	502696.500	542949.032
130583.555	668733.750	539042.782
322170.469	681347.063	535136.532
324959.063	542452.813	531230.282
344660.063	626706.438	527324.032
406659.813	-138882.156	523417.782
338094.875	571907.063	519511.532
485734.906	504819.375	515605.282
185522.625	567773.000	511699.032
313510.438	268831.688	507792.782
384925.313	390894.375	503886.532
377518.813	611514.313	499980.282
493546.000	462729.500	496074.032
283561.375	433168.125	492167.782
684171.375	494301.594	488261.532
389664.906	932422.250	484355.282
412142.563	192628.734	480449.032
774145.063	573520.625	476542.782
423015.156	215751.891	472636.532
160496.031	806124.750	468730.282
336650.500	211721.578	464824.032
419617.219	761003.688	460917.782
432011.813	713381.500	457011.532
449028.250	588945.313	453105.282
434275.250	320955.813	449199.032
326704.313	1125269.000	445292.782
870071.250	468851.594	441386.532
615947.000	145227.391	437480.282
504636.844	147156.734	433574.032
-163281.859	360809.219	429667.782
346626.375	440461.188	425761.532
458299.813	778082.375	421855.282
103652.617	777628.938	417949.032
470283.531	277009.500	414042.782
282525.219	433280.625	410136.532
797053.500	299098.906	406230.282
270148.281	725984.375	402324.032
69376.570	897270.563	398417.782
373719.750	661160.625	394511.532
258221.406	581557.688	390605.282
209276.469	1048587.750	386699.032
264093.344	601289.375	382792.782
324775.281	564653.563	378886.532
917881.688	910731.438	374980.282
541411.625	334264.750	371074.032
422308.500	803388.125	367167.782
304785.688	819663.313	363261.532
-8966.490	644722.938	359355.282
465810.281	681905.313	355449.032
388312.719	924858.000	351542.782
672829.688	633967.500	347636.532
-65090.523	967074.750	343730.282
382002.688	714974.875	339824.032
390148.000	823307.188	335917.782
331819.563	690585.813	332011.532
616737.875	1295557.250	328105.282
225404.172	873145.375	324199.032
598921.125	809039.188	320292.782
252719.922	914233.313	316386.532
78495.852	891658.375	312480.282
399478.250	965185.125	308574.032
473510.844	846612.813	304667.782
426178.531	813817.813	300761.532
691258.000	715953.688	296855.282
634072.563	956058.750	292949.032
563110.813	1085362.375	289042.782
22752.424	1163480.500	285136.532
298878.438	1207311.125	281230.282
603467.125	1129871.250	277324.032
668501.375	1390390.250	273417.782
490675.469	647887.188	269511.532
368073.906	1129524.625	265605.282
168953.516	927423.938	261699.032
563328.188	818369.125	257792.782
708590.313	1281825.250	253886.532
373040.688	1139883.125	249980.282
48113.039	1363458.750	246074.032
504297.656	1276159.250	242167.782
234550.484	1325333.125	238261.532
263306.406	1283700.375	234355.282
399411.406	1327987.250	230449.032
536563.188	1248075.750	226542.782
101481.289	1184624.000	222636.532
291823.031	1884969.125	218730.282
357268.844	1513947.625	214824.032
283718.656	1441441.250	210917.782
343280.063	1560629.000	207011.532
69711.188	1610254.875	203105.282
465878.625	1400739.875	199199.032
579975.688	1815476.750	195292.782
341842.063	2170502.500	191386.532
576324.375	1973751.500	187480.282
480259.531	1910205.500	183574.032
483772.156	2251232.250	179667.782
279327.000	2426961.000	175761.532
435198.250	2779513.000	171855.282
572724.438	2973717.500	167949.032
430256.281	2583648.000	164042.782
531692.625	2796108.000	160136.532
711969.125	3274203.750	156230.282
880138.813	3378293.000	152324.032
1129662.000	3305287.500	148417.782
1466856.125	3426884.500	144511.532
1918296.750	3554511.500	140605.282
2184892.250	3171581.500	136699.032
2473164.250	3011600.750	132792.782
2135894.500	3378018.000	128886.532
2706553.500	3605409.000	124980.282
3015730.250	3372662.500	121074.032
2815541.750	3458201.000	117167.782
3399998.000	3240877.500	113261.532
3843186.500	2960459.750	109355.282
3748807.500	2724999.500	105449.032
4074825.250	2549240.500	101542.782
3738896.250	1567234.750	97636.532
4068334.750	1493127.500	93730.282
3360014.500	1552652.750	89824.032
3139386.000	1660024.125	85917.782
2613851.000	1790200.375	82011.532
2805316.000	2212170.750	78105.282
2958300.000	2694943.750	74199.032
3213591.250	3200337.500	70292.782
3607779.750	3349361.750	66386.532
4108465.250	3564666.500	62480.282
4333336.000	3918763.750	58574.032
5706503.000	3793400.000	54667.782
6186566.500	2856223.250	50761.532
7431399.000	2254163.000	46855.282
7348509.500	1245983.375	42949.032
6999660.500	1241281.375	39042.782
7063728.000	302871.469	35136.532
7247652.500	69942.875	31230.282
6557924.000	-348867.250	27324.032
7570889.500	-44645.930	23417.782
7755159.500	-1052275.875	19511.532
7714052.000	-1720425.875	15605.282
7647750.000	-2369700.000	11699.032
7740441.500	-3142406.250	7792.782
7405884.000	-3866876.000	3886.532
6365683.500	-4707641.500	-19.718
5785952.000	-5546722.000	-3925.968
4003906.750	-5741634.000	-7832.218
3708335.750	-5597927.500	-11738.468
3007134.000	-5268630.000	-15644.718
2565949.750	-5004758.000	-19550.968
2138514.000	-4495642.000	-23457.218
2253223.750	-4527711.000	-27363.468
1856126.875	-4264538.500	-31269.718
1666414.375	-3747997.000	-35175.968
1358049.750	-3920197.750	-39082.218
825296.313	-3661349.750	-42988.468
1179090.375	-3716992.500	-46894.718
720850.688	-3175171.750	-50800.968
586101.063	-3210055.500	-54707.218
703588.125	-2995268.250	-58613.468
318472.438	-2952251.250	-62519.718
824485.000	-2605738.500	-66425.968
702337.500	-2732648.250	-70332.218
250090.359	-2412435.250	-74238.468
438614.813	-2683400.000	-78144.718
542637.813	-2111994.500	-82050.968
212494.516	-2226995.000	-85957.218
1118932.750	-2185758.750	-89863.468
581004.063	-1618783.625	-93769.718
376090.469	-1595043.500	-97675.968
141433.906	-1732805.125	-101582.218
125555.531	-1955230.000	-105488.468
-10668.813	-1514025.125	-109394.718
129753.805	-1907399.875	-113300.968
290281.563	-1645499.750	-117207.218
647834.000	-1307161.000	-121113.468
533650.625	-1428838.250	-125019.718
394221.906	-1273203.750	-128925.968
286297.719	-1623393.125	-132832.218
688411.000	-1566344.125	-136738.468
550113.438	-1044178.750	-140644.718
491404.625	-1171327.625	-144550.968
426473.281	-1421734.125	-148457.218
376915.656	-1359507.625	-152363.468
468087.156	-1133445.000	-156269.718
131774.672	-1278335.625	-160175.968
516128.781	-869750.688	-164082.218
289618.531	-1108128.375	-167988.468
334791.750	-1178752.375	-171894.718
248178.109	-941509.875	-175800.968
264331.813	-1044523.063	-179707.218
568386.750	-917837.438	-183613.468
481916.344	-1415931.375	-187519.718
546587.750	-1156495.375	-191425.968
437893.938	-854131.563	-195332.218
623293.063	-918558.063	-199238.468
316089.781	-1043278.375	-203144.718
392590.969	-934283.813	-207050.968
678978.813	-830443.688	-210957.218
168895.766	-1007778.563	-214863.468
653346.750	-784658.625	-218769.718
292996.375	-681123.313	-222675.968
636865.125	-943095.625	-226582.218
410584.500	-928828.000	-230488.468
252024.906	-963523.625	-234394.718
284318.969	-813468.438	-238300.968
235572.734	-757581.563	-242207.218
341403.313	-663565.313	-246113.468
548080.688	-795848.375	-250019.718
282572.625	-902724.563	-253925.968
277936.719	-953836.875	-257832.218
579039.875	-793368.750	-261738.468
410016.188	-677364.625	-265644.718
509892.250	-944174.813	-269550.968
252812.219	-626240.625	-273457.218
337020.125	-864006.438	-277363.468
477598.625	-779105.313	-281269.718
556378.500	-626053.750	-285175.968
362345.313	-671412.313	-289082.218
372876.094	-564458.063	-292988.468
-67884.875	-679088.563	-296894.718
245377.844	-445364.781	-300800.968
500727.188	-523615.875	-304707.218
350333.375	-632057.125	-308613.468
180357.328	-746656.938	-312519.718
187295.453	-610535.750	-316425.968
785018.125	-783197.688	-320332.218
96048.031	-345104.000	-324238.468
464402.500	-466201.063	-328144.718
826908.063	-551097.563	-332050.968
402841.938	-426014.563	-335957.218
213598.797	-588837.000	-339863.468
440878.938	-627784.875	-343769.718
422342.750	-320457.594	-347675.968
170478.922	-543172.188	-351582.218
323286.563	-712334.438	-355488.468
305804.313	-573450.313	-359394.718
238182.156	-324972.688	-363300.968
412404.063	-273892.625	-367207.218
539454.688	-472994.031	-371113.468
502940.031	-319191.188	-375019.718
566768.438	-417219.688	-378925.968
327793.031	-788089.750	-382832.218
449741.438	-582589.000	-386738.468
536519.625	-417743.656	-390644.718
