Data Point Listing of File C:\NTNMR\data\Dan\LiMnPO4\P31 [001] 60deg.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
6399667.000	443276.375	999980.282
6797388.000	-141891.313	996074.032
5437827.500	883343.375	992167.782
4862386.500	224574.500	988261.532
5905808.500	341090.750	984355.282
5843184.500	813493.688	980449.032
6266491.000	781088.938	976542.782
6351450.000	829897.250	972636.532
5698083.500	118703.281	968730.282
5440199.000	40679.098	964824.032
5375769.500	809387.875	960917.782
4985958.000	872676.250	957011.532
6275999.000	-276435.594	953105.282
6424771.000	295099.250	949199.032
6072190.000	-123628.648	945292.782
5817236.500	611716.813	941386.532
4887153.000	659352.750	937480.282
5502604.500	495208.813	933574.032
5331518.500	-105094.992	929667.782
6202987.500	858716.938	925761.532
6133377.000	1908328.625	921855.282
6141214.000	1451765.625	917949.032
5958141.000	1441668.500	914042.782
6100570.000	1911200.875	910136.532
4480987.000	1442545.375	906230.282
5518112.000	2535811.750	902324.032
5826176.000	1420465.250	898417.782
5609722.000	1172269.375	894511.532
5591298.000	747985.313	890605.282
4599491.500	2308995.000	886699.032
6726936.000	1787043.000	882792.782
5657157.500	1850363.375	878886.532
6096780.000	1373582.625	874980.282
6032938.000	1280415.625	871074.032
5761832.500	1898178.750	867167.782
5459023.000	603911.688	863261.532
5268387.000	1450666.625	859355.282
6110075.500	1055442.625	855449.032
6154781.500	1272834.500	851542.782
6814185.000	1527373.750	847636.532
5713351.500	1582370.500	843730.282
5025134.000	2920276.000	839824.032
6764314.500	2132491.750	835917.782
5013999.500	2170407.250	832011.532
5425557.500	1646201.875	828105.282
7056225.000	2003095.250	824199.032
5321949.000	2736982.250	820292.782
5642913.000	1995508.250	816386.532
5101063.500	2798421.250	812480.282
6559232.500	2769616.250	808574.032
5550017.000	1585021.750	804667.782
5779532.500	2697116.250	800761.532
5175538.000	2753876.000	796855.282
5793661.000	1992685.500	792949.032
6117159.000	2021361.875	789042.782
5904799.000	3578281.750	785136.532
5043804.500	1820730.000	781230.282
5190718.000	2897767.000	777324.032
5933709.500	3575484.500	773417.782
5285092.500	3136913.750	769511.532
5409266.000	2202730.000	765605.282
5738536.000	1841300.250	761699.032
5528150.500	2805205.500	757792.782
5968460.000	1979008.625	753886.532
6781320.500	3138629.750	749980.282
5926746.500	3703168.000	746074.032
5335618.500	3489173.500	742167.782
6671911.000	3094135.500	738261.532
5135832.000	3717964.500	734355.282
5139220.000	3410571.250	730449.032
5716581.500	3723490.750	726542.782
6696065.000	2357767.250	722636.532
5000167.500	3976342.750	718730.282
6054539.000	4696369.000	714824.032
5569622.500	4807741.500	710917.782
6323527.000	3648501.000	707011.532
7332324.000	2511576.500	703105.282
4470361.500	4208828.000	699199.032
6655263.500	3871788.500	695292.782
6505595.000	4354902.000	691386.532
6442218.500	4154147.500	687480.282
5693462.500	4107461.750	683574.032
6304418.500	3198711.750	679667.782
5189443.000	3466608.500	675761.532
7006550.000	3724872.500	671855.282
7171939.000	4290159.000	667949.032
5797821.500	3475705.250	664042.782
5737926.500	3054620.000	660136.532
5106321.500	4848994.500	656230.282
6965553.000	3925280.250	652324.032
5467364.500	3332567.500	648417.782
5346303.000	3802598.500	644511.532
6425944.000	3221933.500	640605.282
6845019.000	5137086.000	636699.032
5561597.500	4049564.250	632792.782
5397403.000	5899186.000	628886.532
4752861.000	4628013.000	624980.282
5033827.500	4353891.500	621074.032
6806651.500	5118257.500	617167.782
7060892.000	3673176.000	613261.532
6149880.000	3562452.000	609355.282
5325956.500	5976992.000	605449.032
5913105.000	4570959.000	601542.782
5724498.500	5181596.000	597636.532
6241467.500	4876761.500	593730.282
4893030.500	3719353.250	589824.032
6131390.500	5739049.500	585917.782
5117239.500	4846973.500	582011.532
6534305.500	6107709.000	578105.282
5954886.500	5034386.500	574199.032
4414666.500	4265518.000	570292.782
6962379.000	6310663.500	566386.532
5510035.000	4751907.000	562480.282
4569850.000	6099814.500	558574.032
5301968.500	5341962.000	554667.782
5902897.500	5770524.500	550761.532
5137673.000	7017048.500	546855.282
5305499.500	7372554.000	542949.032
5950724.000	5543314.000	539042.782
5000900.000	5121715.500	535136.532
5652248.500	6984909.000	531230.282
7254747.500	7190025.500	527324.032
5335934.000	5677708.500	523417.782
5096385.500	6359195.500	519511.532
5487584.000	6403684.000	515605.282
5351215.500	6212018.500	511699.032
6469761.000	7763728.500	507792.782
3718036.000	7286996.000	503886.532
4853358.500	7111820.500	499980.282
5994028.500	7271828.500	496074.032
6699787.000	7751579.500	492167.782
