Data Point Listing of File C:\NTNMR\data\Dan\31P_F2_spin_echo.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	ppm
216919.219	142402.203	8165.641
109027.023	-259314.219	8149.692
115562.797	104587.180	8133.743
261246.594	261353.141	8117.794
147982.391	-128664.531	8101.845
139922.703	286827.406	8085.897
168331.234	-150000.516	8069.948
457214.094	144542.750	8053.999
422415.406	284299.250	8038.050
43376.137	-236849.516	8022.101
132634.188	-73364.758	8006.152
80794.766	32122.939	7990.204
220662.016	-297208.219	7974.255
487220.000	-171559.984	7958.306
297221.563	36826.789	7942.357
88821.563	-124819.063	7926.408
75088.422	60230.832	7910.459
-80797.172	-148386.281	7894.511
25970.109	436363.344	7878.562
184237.047	-106578.656	7862.613
289995.750	23407.219	7846.664
-64979.992	298174.844	7830.715
310725.375	184624.266	7814.766
342557.531	219405.438	7798.818
331122.219	15384.247	7782.869
403969.563	331622.938	7766.920
498854.469	-56940.855	7750.971
168200.500	-188181.109	7735.022
341518.469	-32455.695	7719.073
293461.125	136536.609	7703.125
476981.719	-235055.219	7687.176
316675.063	-333752.469	7671.227
222444.938	102867.008	7655.278
-10472.996	-58499.320	7639.329
162314.859	206047.344	7623.380
606784.063	-20092.451	7607.432
-158423.516	-15058.638	7591.483
177121.000	26794.379	7575.534
341951.656	-116855.445	7559.585
251807.453	9250.658	7543.636
299942.125	-22514.156	7527.687
217119.188	29371.756	7511.739
-81664.758	291813.969	7495.790
542778.125	211602.547	7479.841
89472.031	111763.117	7463.892
193881.313	97657.047	7447.943
310277.969	95344.492	7431.994
465945.188	238804.781	7416.046
204759.734	185023.969	7400.097
317807.750	250446.406	7384.148
684271.875	-371107.219	7368.199
104071.922	-9397.973	7352.250
56889.090	82382.648	7336.301
172849.469	-105114.688	7320.353
-3465.658	479349.281	7304.404
265170.906	-272628.563	7288.455
9328.511	-98999.453	7272.506
214144.297	-113757.859	7256.557
122323.352	-273332.063	7240.608
332804.375	133878.406	7224.660
302207.500	-31915.631	7208.711
471757.313	255928.719	7192.762
83617.375	-49143.777	7176.813
75369.164	355861.938	7160.864
272533.625	-1922.253	7144.915
392106.125	40587.891	7128.967
142211.922	-78896.195	7113.018
514161.750	289284.938	7097.069
-46565.168	12940.449	7081.120
201806.094	-129340.531	7065.171
619468.688	359506.688	7049.223
-96913.711	272053.781	7033.274
375612.438	-158990.672	7017.325
-42891.398	-377926.719	7001.376
33092.426	-161894.438	6985.427
137441.969	-133596.859	6969.478
346477.500	40691.570	6953.530
908786.750	50394.215	6937.581
-8034.742	-354494.719	6921.632
-310422.344	87201.281	6905.683
170295.625	145687.094	6889.734
45068.906	192156.641	6873.785
