Data Point Listing of File C:\NTNMR\data\phil\temp_F2_spin_echo.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	ppm
939021.063	-271685.875	8165.641
825504.000	-44639.879	8133.743
977908.000	134600.594	8101.845
984822.688	374446.500	8069.948
1209704.875	158654.922	8038.050
1146871.875	120231.578	8006.152
1028795.938	210658.875	7974.255
1139858.750	-81080.594	7942.357
1102770.750	393969.906	7910.459
1014009.375	498387.156	7878.562
1144051.000	348588.344	7846.664
691618.125	218438.469	7814.766
667220.438	165385.141	7782.869
659915.188	-60704.496	7750.971
552047.563	326540.688	7719.073
889494.688	98045.648	7687.176
837833.625	-144894.156	7655.278
981815.125	153745.313	7623.380
823277.188	358475.938	7591.483
1222804.875	139407.641	7559.585
655602.625	345286.844	7527.687
981953.125	283475.531	7495.790
1041909.188	486131.531	7463.892
1195915.500	544986.563	7431.994
1146525.875	189856.109	7400.097
609750.500	42167.617	7368.199
1228600.875	188829.125	7336.301
954260.688	451309.469	7304.404
921042.500	95633.000	7272.506
827827.938	506228.500	7240.608
917984.875	250596.922	7208.711
959847.063	300775.781	7176.813
897796.375	797807.938	7144.915
976390.750	343477.906	7113.018
1049447.875	330088.250	7081.120
782096.938	175184.141	7049.223
828223.250	447037.469	7017.325
843388.125	599556.938	6985.427
1165398.125	108835.484	6953.530
771426.875	-60032.230	6921.632
1054694.750	165352.000	6889.734
1197085.375	-73946.844	6857.837
842455.813	323210.969	6825.939
907454.563	212663.813	6794.041
1527487.250	180629.234	6762.144
775552.875	448376.844	6730.246
1290835.000	794671.125	6698.348
993540.625	10209.411	6666.451
1004536.563	766181.625	6634.553
397942.250	228523.641	6602.655
890294.563	-63509.348	6570.758
1020267.625	576610.313	6538.860
814387.688	800710.563	6506.962
1220711.625	457629.531	6475.065
1133754.250	738848.625	6443.167
758125.813	32993.348	6411.269
1290660.125	546110.438	6379.372
1005622.813	493358.781	6347.474
1054771.250	241477.672	6315.576
595295.313	91066.273	6283.679
1121472.750	359602.313	6251.781
1183257.875	558857.188	6219.883
869839.875	841297.625	6187.986
539001.375	208541.625	6156.088
998586.750	371935.688	6124.190
-65799.719	799501.750	6092.293
1068491.000	281279.344	6060.395
695242.625	622191.875	6028.497
685423.250	140886.063	5996.600
616332.875	545334.438	5964.702
