Data Point Listing of File C:\NTNMR\data\Dan\31P_F2_spin_echo.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	Hz
1090699.500	-151902.234	999980.282
847037.750	120895.734	998027.157
870585.500	-117773.406	996074.032
803419.000	336407.563	994120.907
851214.750	128097.883	992167.782
807483.875	342541.594	990214.657
987275.188	-71643.789	988261.532
781505.688	278223.375	986308.407
655870.750	49105.047	984355.282
678064.938	173792.125	982402.157
786066.250	95406.258	980449.032
659130.688	427927.938	978495.907
601245.313	54251.359	976542.782
681444.375	31328.105	974589.657
782819.500	158959.281	972636.532
889133.438	-27181.760	970683.407
807148.250	-133127.656	968730.282
979564.625	58730.535	966777.157
832179.563	266989.313	964824.032
918973.813	-95417.711	962870.907
926601.625	-297123.250	960917.782
639957.750	322708.938	958964.657
872507.313	316235.250	957011.532
905277.250	207787.750	955058.407
701624.438	271451.813	953105.282
887542.563	346904.531	951152.157
1191813.875	336267.781	949199.032
836898.750	168415.547	947245.907
828279.250	-158518.438	945292.782
688357.438	228689.125	943339.657
738401.750	-121321.172	941386.532
745885.750	181072.297	939433.407
635216.688	151973.031	937480.282
776774.250	89251.688	935527.157
883807.438	112548.656	933574.032
827871.500	-139638.531	931620.907
570791.750	163741.266	929667.782
789093.188	364686.781	927714.657
792028.375	260756.766	925761.532
867015.313	93378.625	923808.407
673383.500	477258.688	921855.282
819959.250	160057.672	919902.157
506437.344	64232.023	917949.032
1016108.938	55941.313	915995.907
718260.313	-82552.570	914042.782
631826.938	132512.016	912089.657
953771.750	164469.859	910136.532
375231.125	-399719.531	908183.407
731688.063	251440.234	906230.282
646505.813	633595.500	904277.157
946662.750	411538.406	902324.032
968282.688	562682.375	900370.907
813265.563	-60272.125	898417.782
709838.313	234075.188	896464.657
732779.875	102276.883	894511.532
851723.000	531060.938	892558.407
1356731.625	-361143.500	890605.282
896814.688	284170.406	888652.157
797980.500	-97262.250	886699.032
434159.250	277740.031	884745.907
799528.125	419192.594	882792.782
884980.625	158492.141	880839.657
664601.438	751010.625	878886.532
812477.188	-50279.281	876933.407
986739.125	-36803.723	874980.282
945555.063	296534.031	873027.157
1119346.250	333906.125	871074.032
941553.250	308383.875	869120.907
430704.500	-77148.016	867167.782
1229151.375	25915.025	865214.657
678281.313	-111790.273	863261.532
474852.938	165348.844	861308.407
995478.750	340678.875	859355.282
859972.375	196167.922	857402.157
563137.438	-98714.641	855449.032
857075.313	472949.781	853495.907
484237.375	670922.750	851542.782
541527.188	526100.875	849589.657
777364.125	47029.730	847636.532
708861.125	234700.656	845683.407
436849.250	333882.781	843730.282
973702.438	497225.031	841777.157
705007.000	435931.313	839824.032
731457.125	134821.172	837870.907
678826.063	571240.875	835917.782
555314.938	131226.531	833964.657
510415.625	370703.906	832011.532
799297.625	454949.688	830058.407
766117.688	286767.844	828105.282
865516.500	420303.469	826152.157
936964.375	350247.719	824199.032
682880.500	827396.125	822245.907
977838.625	348157.531	820292.782
787071.813	193572.422	818339.657
673486.938	231930.656	816386.532
573318.688	122785.375	814433.407
587516.563	497278.125	812480.282
610005.000	470972.375	810527.157
511002.000	95760.461	808574.032
1047434.500	433153.438	806620.907
949765.813	585749.125	804667.782
992648.313	209283.938	802714.657
643782.375	-21410.797	800761.532
870906.250	529700.063	798808.407
1068934.875	560030.750	796855.282
698656.813	105834.469	794902.157
875241.438	391451.656	792949.032
760515.750	341468.188	790995.907
429139.594	149972.969	789042.782
875863.563	417661.625	787089.657
764725.688	723769.188	785136.532
562472.500	386592.563	783183.407
707869.813	471100.969	781230.282
859191.250	225641.609	779277.157
1023650.500	708113.000	777324.032
1005157.125	257086.984	775370.907
769345.625	540295.000	773417.782
522008.563	602709.375	771464.657
501207.156	502755.281	769511.532
1263726.000	503579.625	767558.407
846055.750	270047.875	765605.282
633296.938	342447.125	763652.157
512781.188	341877.500	761699.032
1169189.500	715018.938	759745.907
727808.875	512912.750	757792.782
759460.875	635111.375	755839.657
820950.313	307065.188	753886.532
581499.063	88729.938	751933.407
969462.250	433045.688	749980.282
691094.000	710821.500	748027.157
772642.375	339894.844	746074.032
840970.688	588883.875	744120.907
1090935.000	23817.043	742167.782
801937.625	524238.375	740214.657
813762.313	320568.281	738261.532
795473.063	771979.188	736308.407
671662.875	621071.750	734355.282
933101.750	968363.563	732402.157
1232281.750	478866.188	730449.032
979984.438	369220.000	728495.907
863985.750	255880.953	726542.782
635830.438	266209.125	724589.657
542437.563	445732.156	722636.532
874324.438	268092.438	720683.407
944351.188	666884.500	718730.282
918472.375	281002.188	716777.157
446307.250	1107975.875	714824.032
670740.125	466710.781	712870.907
679475.813	434644.719	710917.782
905712.438	1355572.000	708964.657
653664.688	295185.188	707011.532
1035084.438	302480.094	705058.407
844591.063	701470.313	703105.282
592631.125	318935.875	701152.157
904405.813	699627.375	699199.032
917370.813	218907.063	697245.907
1052871.500	355786.906	695292.782
949131.625	420571.344	693339.657
289148.031	244209.844	691386.532
787353.000	257405.906	689433.407
697425.750	179803.281	687480.282
538644.438	708018.250	685527.157
362871.969	144374.891	683574.032
1120042.625	651271.438	681620.907
847903.000	527575.563	679667.782
832457.250	500041.375	677714.657
388496.250	384247.500	675761.532
893902.813	781177.438	673808.407
416842.656	793674.750	671855.282
901823.438	1048735.500	669902.157
765931.875	316655.344	667949.032
596733.125	828185.000	665995.907
831411.375	522781.250	664042.782
1328190.375	327607.719	662089.657
179492.578	856241.250	660136.532
897913.563	541605.250	658183.407
1174688.000	765440.813	656230.282
658500.438	681029.563	654277.157
797575.375	234840.094	652324.032
813245.438	530719.063	650370.907
908840.313	929353.688	648417.782
795373.125	1160373.000	646464.657
947028.875	413712.344	644511.532
640885.313	786011.625	642558.407
947809.500	810704.875	640605.282
839162.000	777160.688	638652.157
763119.375	428701.313	636699.032
295199.375	593818.875	634745.907
467957.063	1034968.938	632792.782
1107234.125	1022368.375	630839.657
987986.438	434927.656	628886.532
646801.125	493638.188	626933.407
665053.000	400377.469	624980.282
169571.953	1032518.250	623027.157
569299.125	829445.813	621074.032
558807.125	801817.125	619120.907
991668.438	848036.250	617167.782
527124.063	504151.875	615214.657
1072696.000	875213.563	613261.532
793011.000	771988.000	611308.407
506607.000	479623.750	609355.282
680530.125	753733.813	607402.157
992935.188	409830.281	605449.032
341013.063	645809.563	603495.907
228783.266	642588.750	601542.782
650361.625	1059144.375	599589.657
709116.000	614766.563	597636.532
338413.656	794508.063	595683.407
429696.031	1297905.750	593730.282
794810.375	1143974.500	591777.157
1018859.063	837963.063	589824.032
761915.813	1247939.125	587870.907
1130686.500	1210663.500	585917.782
1387749.875	799283.938	583964.657
1050439.250	1168481.500	582011.532
1327426.750	857077.375	580058.407
548754.000	662143.313	578105.282
880051.625	1157907.750	576152.157
1127431.000	843618.563	574199.032
1161259.125	1246521.500	572245.907
993517.063	717480.438	570292.782
404015.594	1001875.313	568339.657
768366.625	718933.188	566386.532
811374.813	982186.625	564433.407
1223958.875	1203454.375	562480.282
1009809.000	1012482.125	560527.157
1248014.750	530994.438	558574.032
1065466.125	619573.063	556620.907
228640.531	879701.563	554667.782
687572.063	801734.688	552714.657
658634.313	1034722.563	550761.532
926277.000	822326.875	548808.407
646503.000	1063094.000	546855.282
570428.250	1019027.188	544902.157
934350.375	1243283.875	542949.032
707658.813	460618.156	540995.907
1445276.250	807639.375	539042.782
522224.219	952479.688	537089.657
895684.375	1073551.000	535136.532
793736.813	1177272.250	533183.407
1001177.625	511831.531	531230.282
1041105.875	825244.563	529277.157
834680.813	1070330.875	527324.032
1138418.125	1184727.000	525370.907
974217.563	714941.000	523417.782
720041.813	314504.469	521464.657
743286.500	1355491.375	519511.532
540566.875	1530607.875	517558.407
873654.688	1184312.625	515605.282
851945.000	968522.813	513652.157
704194.438	774280.063	511699.032
793794.563	1513565.750	509745.907
749116.813	651476.500	507792.782
869395.500	1013261.750	505839.657
429203.438	1253002.125	503886.532
431232.656	1214542.250	501933.407
1054570.875	728521.000	499980.282
881719.563	782591.875	498027.157
1117009.250	324994.875	496074.032
860935.938	973313.563	494120.907
781574.125	1344022.250	492167.782
1076290.750	670939.313	490214.657
1239458.875	1045108.875	488261.532
618901.063	1456437.750	486308.407
1066003.500	1054294.500	484355.282
784644.750	902729.875	482402.157
192524.891	1377347.375	480449.032
962411.625	943992.625	478495.907
367489.219	709806.313	476542.782
756145.438	1636006.250	474589.657
812670.063	1295572.000	472636.532
813166.875	1243100.750	470683.407
1072874.500	1126288.375	468730.282
321022.250	1361914.625	466777.157
1215114.375	1829784.500	464824.032
744393.375	978728.938	462870.907
762583.625	1401882.500	460917.782
554640.000	1325712.000	458964.657
332729.125	1213582.625	457011.532
660124.938	1019646.813	455058.407
889720.438	1498480.875	453105.282
623853.813	1571002.500	451152.157
629766.000	1435493.125	449199.032
1118048.000	1200038.000	447245.907
766420.938	883074.375	445292.782
869684.625	1710982.125	443339.657
1040859.500	1663823.750	441386.532
448633.000	1436713.250	439433.407
1029341.313	1286889.750	437480.282
811547.875	1731842.750	435527.157
1051146.250	1438052.875	433574.032
1531867.125	1481629.000	431620.907
987565.625	1577666.875	429667.782
312559.594	1628933.125	427714.657
1630362.750	1715866.250	425761.532
1000976.500	629540.563	423808.407
325759.469	1785501.375	421855.282
402784.281	808301.250	419902.157
872753.875	1442919.375	417949.032
1202905.625	1611647.250	415995.907
919935.063	1484758.250	414042.782
940106.000	918526.563	412089.657
825886.500	1222011.000	410136.532
782869.250	1234008.125	408183.407
1160306.750	1649862.375	406230.282
761926.000	1320057.250	404277.157
1469269.750	1737698.875	402324.032
536853.313	1808403.750	400370.907
1305823.875	1047919.063	398417.782
790207.250	1493270.750	396464.657
1177943.750	1517074.250	394511.532
985230.625	2155517.000	392558.407
861988.938	1400270.000	390605.282
1241270.500	1590379.125	388652.157
705982.063	1701501.250	386699.032
467164.500	1973365.375	384745.907
162105.047	1609202.000	382792.782
1141473.625	1705207.375	380839.657
1001511.375	1749869.625	378886.532
669879.500	1617188.875	376933.407
1370025.875	1500847.125	374980.282
967623.063	1550146.000	373027.157
911014.500	2105534.250	371074.032
914823.250	2062563.500	369120.907
1078697.625	1497969.375	367167.782
966918.125	1580343.125	365214.657
1444497.125	1097692.000	363261.532
1269311.625	1671915.875	361308.407
1032491.250	1683826.125	359355.282
1104507.375	2121040.250	357402.157
878459.188	1736912.625	355449.032
977384.938	1569914.375	353495.907
991512.625	1844268.250	351542.782
1015979.750	1535002.875	349589.657
1045230.000	2310679.750	347636.532
873333.000	1407974.750	345683.407
767476.500	1719219.875	343730.282
471455.094	2067338.250	341777.157
1019688.188	1807789.500	339824.032
1560402.000	1582557.500	337870.907
710633.000	2090334.125	335917.782
574177.625	1809259.250	333964.657
824903.188	1459761.125	332011.532
579861.688	2182906.000	330058.407
991097.625	2010581.500	328105.282
1085336.750	2140201.250	326152.157
855400.688	1618127.125	324199.032
908040.000	2342541.750	322245.907
887686.438	1208423.375	320292.782
214846.406	1945131.125	318339.657
853113.813	2244589.750	316386.532
1105106.000	2091626.750	314433.407
1364994.375	2003364.750	312480.282
343713.125	1947378.250	310527.157
1161791.000	1971467.250	308574.032
469351.438	2441786.750	306620.907
1051213.375	2187921.000	304667.782
447594.063	2237533.000	302714.657
1148223.500	2465389.250	300761.532
1133806.125	2365866.250	298808.407
1067527.250	1966512.250	296855.282
1236901.500	2106107.000	294902.157
957467.063	1768226.125	292949.032
825711.500	2070911.875	290995.907
1007992.688	2167253.000	289042.782
612957.375	2540095.000	287089.657
670216.000	1950237.750	285136.532
834590.188	2270270.000	283183.407
445711.781	2559734.750	281230.282
1167332.500	2290509.500	279277.157
1108907.000	2243298.250	277324.032
753882.438	2915816.750	275370.907
853783.625	2955608.250	273417.782
934218.375	2718297.000	271464.657
448376.250	2621712.000	269511.532
904992.438	3190729.250	267558.407
886195.000	2457753.000	265605.282
796666.188	3156280.000	263652.157
1333668.125	2105095.000	261699.032
784473.250	2811016.750	259745.907
837291.938	3119675.500	257792.782
498912.625	2698776.250	255839.657
778358.063	2886664.500	253886.532
740523.938	3063655.750	251933.407
766394.250	2908849.750	249980.282
702827.563	3217029.250	248027.157
915683.313	3146709.250	246074.032
1195703.125	3314243.000	244120.907
1121011.625	2456806.750	242167.782
807944.375	3411424.750	240214.657
860143.063	3628609.250	238261.532
860021.625	3170866.750	236308.407
1013657.625	3527160.000	234355.282
757134.000	3065683.750	232402.157
797113.625	3431609.250	230449.032
639792.750	3578007.750	228495.907
921609.188	3187382.000	226542.782
882169.750	3641527.500	224589.657
929849.125	3049703.250	222636.532
1103030.500	3427144.000	220683.407
851667.750	3871652.000	218730.282
927457.813	3446097.000	216777.157
442694.813	4071926.250	214824.032
280965.563	3928678.000	212870.907
501078.969	4074346.250	210917.782
364426.063	4062976.750	208964.657
1292898.500	4638687.500	207011.532
655666.000	4178737.500	205058.407
896142.500	4707319.000	203105.282
960201.125	4335811.000	201152.157
472437.313	4195043.000	199199.032
770404.563	4688494.500	197245.907
1147289.750	4837834.000	195292.782
1320703.875	4813666.500	193339.657
796550.500	4404305.500	191386.532
947404.813	4802969.500	189433.407
679271.688	4865945.500	187480.282
881095.750	4865405.000	185527.157
351383.000	5433867.000	183574.032
922058.875	5171985.500	181620.907
1348357.625	5669532.500	179667.782
770873.125	5250459.000	177714.657
678778.688	5539761.000	175761.532
319485.094	5667117.500	173808.407
112995.063	5797517.500	171855.282
775154.625	6145569.000	169902.157
429072.063	6539214.500	167949.032
712205.000	6619399.000	165995.907
79407.531	7128924.000	164042.782
1028764.875	7162540.500	162089.657
202177.016	7322952.000	160136.532
1139258.625	7527590.500	158183.407
91136.922	7667273.500	156230.282
399258.438	9026052.000	154277.157
614747.438	9195181.000	152324.032
1043603.625	9385619.000	150370.907
1275422.750	9677764.000	148417.782
1089955.750	10194098.000	146464.657
1465303.625	10651607.000	144511.532
1885505.000	10927138.000	142558.407
1680284.125	11716433.000	140605.282
2317574.750	12437819.000	138652.157
3490686.250	12935469.000	136699.032
3195369.500	13171378.000	134745.907
4063694.750	13704968.000	132792.782
5085343.500	14058666.000	130839.657
5021184.500	14472518.000	128886.532
5974775.500	14795605.000	126933.407
6312269.500	14886336.000	124980.282
7487764.000	15281140.000	123027.157
7911490.500	15446516.000	121074.032
8855410.000	15346587.000	119120.907
9768973.000	15440088.000	117167.782
10631925.000	16228858.000	115214.657
11059994.000	16280414.000	113261.532
12601580.000	16526808.000	111308.407
14007509.000	16161262.000	109355.282
14138290.000	16510162.000	107402.157
15923448.000	16920354.000	105449.032
17486596.000	17188464.000	103495.907
19152084.000	16935268.000	101542.782
21283142.000	16788064.000	99589.657
23087050.000	16411842.000	97636.532
25764074.000	15639296.000	95683.407
28155782.000	13753773.000	93730.282
30485768.000	12132265.000	91777.157
32651854.000	8758948.000	89824.032
33596716.000	5172066.000	87870.907
34011024.000	2514645.000	85917.782
33580064.000	-801160.813	83964.657
32767200.000	-4584807.000	82011.532
31058366.000	-7305428.500	80058.407
29324986.000	-9716712.000	78105.282
27503838.000	-10180027.000	76152.157
26017904.000	-11742230.000	74199.032
23958718.000	-13390021.000	72245.907
22718416.000	-13226978.000	70292.782
21127752.000	-14357466.000	68339.657
20163622.000	-14863145.000	66386.532
18406612.000	-14958195.000	64433.407
17417338.000	-15100291.000	62480.282
16308481.000	-15566590.000	60527.157
14644160.000	-15493202.000	58574.032
13004943.000	-15630289.000	56620.907
12904285.000	-15199730.000	54667.782
11518778.000	-15208660.000	52714.657
10732995.000	-15193416.000	50761.532
10053517.000	-14677304.000	48808.407
9439479.000	-14641423.000	46855.282
8707608.000	-13851813.000	44902.157
7612767.000	-13930060.000	42949.032
7386622.000	-13849800.000	40995.907
7257791.000	-13572800.000	39042.782
6987575.500	-13304906.000	37089.657
6175135.500	-13451530.000	35136.532
5851025.000	-12930325.000	33183.407
4945958.000	-12762506.000	31230.282
4455849.000	-12503297.000	29277.157
4558132.500	-12417096.000	27324.032
3715359.250	-12344055.000	25370.907
3238996.750	-11428331.000	23417.782
3016534.500	-11530177.000	21464.657
2230918.750	-11085997.000	19511.532
2725980.750	-11167840.000	17558.407
1855508.500	-10378554.000	15605.282
1920756.875	-10299297.000	13652.157
1791550.625	-9667290.000	11699.032
958598.813	-9881987.000	9745.907
1046112.875	-9151556.000	7792.782
1079152.875	-8809737.000	5839.657
611502.438	-8606607.000	3886.532
690902.250	-8040198.000	1933.407
1519396.500	-8893918.000	-19.718
514262.781	-8532555.000	-1972.843
186176.578	-7852076.000	-3925.968
337268.031	-7367340.000	-5879.093
-97822.594	-7021363.500	-7832.218
-14051.550	-7094067.000	-9785.343
181913.375	-6487458.000	-11738.468
104773.719	-6482928.000	-13691.593
-248990.500	-6152403.500	-15644.718
-252843.531	-6076429.500	-17597.843
9112.090	-5845525.500	-19550.968
88928.180	-5819021.000	-21504.093
-13475.854	-5542910.500	-23457.218
143745.516	-5648386.500	-25410.343
49478.547	-5394710.000	-27363.468
113775.594	-4893940.500	-29316.593
125335.820	-4968634.500	-31269.718
395156.688	-5029890.000	-33222.843
583349.500	-4509290.000	-35175.968
294772.813	-4259608.000	-37129.093
542514.938	-4467434.500	-39082.218
586880.688	-4287408.000	-41035.343
193752.469	-3992307.250	-42988.468
457948.188	-4104922.250	-44941.593
887125.313	-4061882.500	-46894.718
767043.438	-4460536.500	-48847.843
744098.813	-4118328.750	-50800.968
813895.563	-3987991.250	-52754.093
197868.844	-3814966.500	-54707.218
571847.375	-3719674.000	-56660.343
401277.063	-3955134.000	-58613.468
-232371.469	-3651907.000	-60566.593
89520.188	-3447767.500	-62519.718
519262.188	-3114479.000	-64472.843
233726.234	-3561609.250	-66425.968
542161.500	-3448631.500	-68379.093
238504.656	-3519250.000	-70332.218
693361.063	-3522197.000	-72285.343
489073.188	-3381975.500	-74238.468
436527.031	-3269570.750	-76191.593
596047.813	-3005373.500	-78144.718
740531.938	-2580454.000	-80097.843
793919.000	-3191480.500	-82050.968
643595.500	-3283061.500	-84004.093
1200435.875	-3416977.250	-85957.218
696446.875	-3264295.500	-87910.343
903657.625	-2925162.750	-89863.468
642741.125	-3004144.750	-91816.593
585602.375	-2697629.000	-93769.718
70955.977	-3054133.000	-95722.843
247372.750	-3407528.500	-97675.968
541037.125	-2940000.750	-99629.093
548208.813	-2590193.250	-101582.218
398320.219	-2963259.500	-103535.343
360351.031	-2686060.500	-105488.468
615405.250	-3024895.250	-107441.593
747126.938	-2695179.000	-109394.718
656257.625	-2732665.500	-111347.843
486429.500	-2637558.750	-113300.968
325580.156	-2399581.000	-115254.093
787608.625	-3097907.750	-117207.218
-106079.602	-2961872.750	-119160.343
170858.516	-2273624.000	-121113.468
506364.813	-2163102.250	-123066.593
92957.188	-2334355.250	-125019.718
282682.625	-2853694.250	-126972.843
102878.859	-2144952.000	-128925.968
590314.063	-2504124.250	-130879.093
428839.000	-1773130.000	-132832.218
339495.906	-2529361.750	-134785.343
467340.750	-1819432.875	-136738.468
229539.203	-2123234.250	-138691.593
635901.875	-2512563.250	-140644.718
798344.250	-1952717.625	-142597.843
1019631.125	-1916268.875	-144550.968
900363.938	-2011036.375	-146504.093
373099.375	-1512240.375	-148457.218
688842.875	-2274607.250	-150410.343
405698.219	-1569631.875	-152363.468
640240.938	-2076220.875	-154316.593
898711.063	-1773739.625	-156269.718
694771.063	-1521843.875	-158222.843
988485.688	-1768235.000	-160175.968
790642.375	-1885469.250	-162129.093
1157033.500	-2094024.250	-164082.218
669754.313	-1962526.000	-166035.343
432042.125	-1402255.375	-167988.468
737285.188	-1711965.000	-169941.593
892921.750	-1878036.375	-171894.718
825359.750	-1506670.750	-173847.843
710453.375	-1583451.375	-175800.968
875426.188	-1605301.375	-177754.093
774356.625	-1630308.875	-179707.218
810717.938	-2005732.250	-181660.343
833895.938	-1593511.875	-183613.468
790990.375	-1879761.500	-185566.593
778073.000	-1701584.000	-187519.718
685593.063	-2137853.250	-189472.843
554989.625	-1522508.375	-191425.968
1046974.000	-1465460.875	-193379.093
1111723.500	-2004903.250	-195332.218
756443.125	-1711169.750	-197285.343
491058.125	-1598148.375	-199238.468
1172960.250	-1578028.375	-201191.593
668969.938	-1604626.625	-203144.718
867661.813	-1387413.875	-205097.843
569600.688	-1430625.375	-207050.968
602699.063	-1600795.625	-209004.093
837395.063	-1538726.750	-210957.218
1262363.625	-2058845.625	-212910.343
948074.188	-1853812.000	-214863.468
522840.844	-1546964.125	-216816.593
817407.938	-1246905.750	-218769.718
842511.813	-1882177.750	-220722.843
952809.125	-1426910.375	-222675.968
1131125.875	-1561760.750	-224629.093
697092.625	-1732380.000	-226582.218
683743.375	-1454404.125	-228535.343
924011.750	-1845751.625	-230488.468
968214.563	-2082201.875	-232441.593
1191080.625	-1672509.375	-234394.718
522849.844	-2162773.750	-236347.843
342290.594	-1116726.250	-238300.968
932877.750	-1551397.000	-240254.093
966824.438	-1699981.375	-242207.218
