Data Point Listing of File C:\NTNMR\data\phil\temp_F2_spin_echo.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
317585.094	-122538.922	999980.282
205983.922	86285.148	996074.032
336513.156	187473.203	992167.782
435745.750	-30796.061	988261.532
375628.000	52018.855	984355.282
470440.563	174721.250	980449.032
425347.625	-11974.011	976542.782
372341.625	253419.328	972636.532
287689.063	-68180.844	968730.282
323834.594	-151904.859	964824.032
335675.969	149418.469	960917.782
426628.250	11381.167	957011.532
376334.031	-3771.010	953105.282
310501.500	-141449.375	949199.032
489946.281	-101409.977	945292.782
554347.000	55409.715	941386.532
351481.344	-113583.914	937480.282
416166.938	63570.672	933574.032
561407.188	188700.094	929667.782
231451.250	119818.688	925761.532
361413.656	193243.953	921855.282
347049.750	48459.160	917949.032
461056.844	-72092.648	914042.782
260100.344	-94719.805	910136.532
273361.406	9373.210	906230.282
351099.750	-91498.406	902324.032
338487.188	92887.898	898417.782
357376.125	-49426.305	894511.532
347359.656	105211.742	890605.282
529123.313	75793.344	886699.032
427999.563	280370.625	882792.782
356170.813	-2313.446	878886.532
189555.844	-50637.238	874980.282
198927.094	236738.172	871074.032
325363.125	11986.337	867167.782
445017.250	6897.679	863261.532
477216.375	268153.156	859355.282
184727.328	-141878.109	855449.032
360991.281	-31354.039	851542.782
382589.563	324572.594	847636.532
256072.797	163042.578	843730.282
430572.531	151272.469	839824.032
463215.375	434155.563	835917.782
623825.063	266006.188	832011.532
65986.867	56495.578	828105.282
368265.344	145260.063	824199.032
187615.109	36470.246	820292.782
352088.656	86444.484	816386.532
519505.844	116150.219	812480.282
441296.906	-50170.473	808574.032
453790.625	104236.625	804667.782
498878.969	22192.898	800761.532
233886.078	316393.188	796855.282
330379.625	169219.984	792949.032
510206.781	158362.922	789042.782
435868.500	338348.969	785136.532
491882.219	226094.672	781230.282
43336.004	234248.125	777324.032
476707.125	227666.469	773417.782
493033.500	150176.219	769511.532
388183.063	121272.461	765605.282
377299.438	-76254.164	761699.032
245917.672	336492.688	757792.782
357996.438	182974.094	753886.532
408568.094	221036.031	749980.282
498700.406	27146.945	746074.032
280693.906	152960.547	742167.782
415387.875	144960.188	738261.532
112398.695	158300.328	734355.282
183243.359	141723.063	730449.032
373504.719	510922.938	726542.782
191804.469	293251.406	722636.532
108115.219	168368.141	718730.282
271116.125	54542.684	714824.032
178120.109	-350668.000	710917.782
637502.875	403168.063	707011.532
176016.797	244714.203	703105.282
356105.406	135953.016	699199.032
230878.031	210541.625	695292.782
582873.750	258601.422	691386.532
588873.250	174003.172	687480.282
348899.125	249296.578	683574.032
354217.656	379339.125	679667.782
259424.922	407053.719	675761.532
381343.500	-182952.203	671855.282
257300.078	288083.625	667949.032
593039.188	92988.391	664042.782
510277.281	34009.098	660136.532
474995.125	156260.016	656230.282
378049.125	215775.328	652324.032
29847.551	114936.625	648417.782
539364.438	425413.000	644511.532
465863.531	210451.641	640605.282
222772.531	529048.750	636699.032
252537.719	238930.891	632792.782
528437.188	651228.688	628886.532
702894.688	330819.438	624980.282
303951.688	172683.141	621074.032
386368.094	209262.828	617167.782
505700.313	138328.875	613261.532
265739.625	201935.734	609355.282
566806.500	598368.875	605449.032
294857.031	263515.156	601542.782
496102.500	221920.375	597636.532
84107.313	338296.500	593730.282
237870.250	481677.938	589824.032
447159.438	615869.188	585917.782
456132.375	348681.750	582011.532
525399.875	123052.055	578105.282
193828.781	153673.734	574199.032
371536.406	129263.523	570292.782
119101.914	313144.719	566386.532
660248.563	501473.813	562480.282
609177.938	320219.688	558574.032
499672.625	410999.156	554667.782
498294.469	518255.031	550761.532
452657.469	426948.906	546855.282
421382.781	419019.969	542949.032
439694.406	329666.031	539042.782
426578.156	423105.563	535136.532
336799.156	236257.797	531230.282
351211.719	470569.406	527324.032
-139484.906	653070.313	523417.782
430898.656	207449.906	519511.532
427944.656	227145.984	515605.282
568182.688	490189.938	511699.032
368871.281	188886.297	507792.782
335851.438	313677.063	503886.532
234137.609	383166.719	499980.282
382437.344	145077.547	496074.032
-17451.906	224533.156	492167.782
597345.438	627374.125	488261.532
464457.031	97373.266	484355.282
471340.469	396114.188	480449.032
364112.406	428173.875	476542.782
235073.281	651941.500	472636.532
527205.125	393189.875	468730.282
327561.000	367124.219	464824.032
62975.410	735657.063	460917.782
364779.969	565965.125	457011.532
260276.828	330453.156	453105.282
576601.000	114729.445	449199.032
424680.656	585756.063	445292.782
277001.750	667170.438	441386.532
31275.691	480294.625	437480.282
300590.469	399737.906	433574.032
394427.906	608288.063	429667.782
338501.875	330747.156	425761.532
-20906.443	304004.438	421855.282
77685.117	959906.938	417949.032
220028.000	54342.172	414042.782
-105922.477	283704.875	410136.532
445938.313	276084.063	406230.282
311770.313	683250.938	402324.032
892180.063	580834.500	398417.782
190769.484	485183.563	394511.532
430789.188	763220.000	390605.282
174866.516	783250.625	386699.032
325825.938	914566.813	382792.782
319336.781	1018214.000	378886.532
295682.594	609570.500	374980.282
557446.188	605103.750	371074.032
320675.000	813404.375	367167.782
311133.094	774940.313	363261.532
475753.188	570528.750	359355.282
518441.875	590000.188	355449.032
462920.531	767239.875	351542.782
491514.469	670174.938	347636.532
694629.500	561482.500	343730.282
156058.422	664644.125	339824.032
592568.188	1047645.750	335917.782
512235.344	854684.313	332011.532
496516.156	729047.938	328105.282
306301.844	667776.875	324199.032
381023.188	913248.625	320292.782
260964.547	1010910.313	316386.532
335034.563	878560.750	312480.282
615134.563	743594.313	308574.032
339481.156	1175641.250	304667.782
81748.430	722995.813	300761.532
402821.844	888471.313	296855.282
537765.625	1181011.625	292949.032
201725.813	391596.031	289042.782
49851.406	939736.750	285136.532
290132.438	908217.375	281230.282
399704.531	847022.875	277324.032
431132.281	1073268.375	273417.782
97337.148	1228496.375	269511.532
272811.250	1276836.750	265605.282
283547.156	1365303.750	261699.032
349301.438	1022402.188	257792.782
334371.375	1318985.750	253886.532
182310.813	1369894.250	249980.282
-2434.499	1199652.000	246074.032
113486.336	1039747.000	242167.782
-45026.738	1170055.250	238261.532
33455.078	1258022.750	234355.282
493954.875	1390536.750	230449.032
660544.188	1038483.250	226542.782
308400.094	1049351.000	222636.532
287667.813	1641330.500	218730.282
691867.188	1693402.250	214824.032
288408.438	1443834.250	210917.782
282421.188	1491281.625	207011.532
272195.750	1832156.000	203105.282
209864.641	1398808.500	199199.032
547948.813	1456762.125	195292.782
226809.313	1325458.375	191386.532
-70150.781	2139390.500	187480.282
200506.875	1819876.250	183574.032
807339.875	1760057.375	179667.782
432652.531	2106234.000	175761.532
197766.484	1913005.125	171855.282
309788.313	2270292.250	167949.032
491248.688	2129088.750	164042.782
506739.563	2423114.750	160136.532
136093.984	2473923.750	156230.282
-488380.125	2295526.500	152324.032
371941.406	2598577.500	148417.782
242672.781	3040741.250	144511.532
283072.969	2691367.250	140605.282
381112.188	3368675.500	136699.032
58063.707	3411594.750	132792.782
418756.813	3770230.000	128886.532
241641.531	3923317.500	124980.282
235110.000	4095574.500	121074.032
614302.625	4781358.500	117167.782
874719.125	4893935.500	113261.532
1240360.375	5615258.000	109355.282
1226549.250	6038913.500	105449.032
1772621.250	6328485.000	101542.782
2440322.000	6481863.000	97636.532
3043316.000	7046377.500	93730.282
3386649.000	7557719.500	89824.032
4534526.000	7662479.000	85917.782
5396759.000	7886152.500	82011.532
6205878.000	8253148.500	78105.282
7514558.500	8498303.000	74199.032
9110975.000	8059437.000	70292.782
10824289.000	7415060.500	66386.532
12521685.000	6263529.500	62480.282
14433018.000	4855913.000	58574.032
15451113.000	2542796.750	54667.782
16351292.000	230945.906	50761.532
16191829.000	-3039673.750	46855.282
14617678.000	-5736206.000	42949.032
12868409.000	-7149215.500	39042.782
10618895.000	-8794787.000	35136.532
8147734.500	-8899177.000	31230.282
6448878.000	-8615289.000	27324.032
5731474.500	-8018660.000	23417.782
4546095.500	-8136786.000	19511.532
4042044.250	-6957166.500	15605.282
3034206.250	-7080824.000	11699.032
2478854.750	-6514624.500	7792.782
2237725.250	-6558495.000	3886.532
1896955.250	-5833593.500	-19.718
1504566.375	-5915495.000	-3925.968
1151272.625	-5368008.000	-7832.218
1012522.000	-5105469.500	-11738.468
885412.500	-4682291.500	-15644.718
501465.938	-4468860.500	-19550.968
334073.500	-4169463.250	-23457.218
273174.781	-4090026.750	-27363.468
422093.781	-3695978.000	-31269.718
389372.156	-3264172.500	-35175.968
153095.969	-2993827.500	-39082.218
99979.664	-2783237.000	-42988.468
149789.969	-2922981.000	-46894.718
308108.281	-2784758.250	-50800.968
457492.000	-2780629.500	-54707.218
194556.813	-2679698.250	-58613.468
81205.695	-2656731.000	-62519.718
65070.789	-2246642.000	-66425.968
-69036.844	-2235218.750	-70332.218
88357.672	-2081209.625	-74238.468
9328.140	-2223372.500	-78144.718
-220178.781	-1929124.875	-82050.968
218047.328	-1959937.250	-85957.218
-56856.254	-1718403.875	-89863.468
292648.750	-1825629.125	-93769.718
224148.266	-1413742.625	-97675.968
53848.688	-1860598.375	-101582.218
71326.453	-1661526.250	-105488.468
68880.727	-1594529.000	-109394.718
41964.543	-1468697.000	-113300.968
303449.000	-1424481.750	-117207.218
176981.703	-1205280.125	-121113.468
254580.391	-1213197.250	-125019.718
29356.412	-1112628.250	-128925.968
133641.078	-1206590.500	-132832.218
290164.656	-1312772.375	-136738.468
251929.313	-1264442.375	-140644.718
437401.531	-1017522.188	-144550.968
283173.594	-1245324.250	-148457.218
217537.297	-937280.688	-152363.468
361226.750	-863129.938	-156269.718
240904.047	-1083481.750	-160175.968
270427.844	-926163.250	-164082.218
458836.031	-987335.500	-167988.468
306556.906	-1185731.500	-171894.718
521740.500	-857760.813	-175800.968
616683.688	-1072854.125	-179707.218
81157.430	-1001188.875	-183613.468
418908.313	-1010713.938	-187519.718
19511.740	-886453.250	-191425.968
448908.375	-826112.313	-195332.218
-13474.677	-868939.188	-199238.468
255308.703	-929211.875	-203144.718
214857.141	-637671.063	-207050.968
371649.156	-911332.813	-210957.218
520752.906	-942689.375	-214863.468
379731.313	-892634.500	-218769.718
546359.188	-1037273.625	-222675.968
423067.188	-725351.688	-226582.218
131076.641	-674653.563	-230488.468
625770.563	-682695.813	-234394.718
365392.875	-801822.625	-238300.968
257812.078	-760706.875	-242207.218
495690.000	-737005.563	-246113.468
310747.906	-842848.813	-250019.718
302811.625	-755452.188	-253925.968
95097.875	-958916.875	-257832.218
333506.688	-822946.250	-261738.468
263480.031	-741448.625	-265644.718
377021.406	-625256.125	-269550.968
349883.500	-640150.250	-273457.218
503596.594	-434155.688	-277363.468
322196.781	-755448.375	-281269.718
249794.984	-624400.313	-285175.968
208767.922	-784100.938	-289082.218
485454.250	-524369.375	-292988.468
405272.531	-662338.563	-296894.718
429345.344	-655695.375	-300800.968
293031.188	-568607.250	-304707.218
575606.250	-552738.500	-308613.468
281253.406	-473680.750	-312519.718
468159.094	-675318.438	-316425.968
457922.781	-817504.313	-320332.218
227713.781	-479013.656	-324238.468
497825.000	-566995.375	-328144.718
272401.344	-634991.125	-332050.968
344043.625	-559770.000	-335957.218
355574.469	-645242.250	-339863.468
262133.484	-539247.250	-343769.718
215359.141	-563031.500	-347675.968
277333.875	-705560.375	-351582.218
328867.906	-468340.250	-355488.468
382149.750	-688403.313	-359394.718
355468.625	-377692.219	-363300.968
596842.625	-253995.734	-367207.218
469332.094	-514961.344	-371113.468
167653.484	-738221.125	-375019.718
-75522.617	-394467.156	-378925.968
435171.219	-463102.938	-382832.218
346556.625	-486788.031	-386738.468
593787.750	-573848.625	-390644.718
602668.188	-411068.469	-394550.968
674398.750	-461751.438	-398457.218
355231.844	-428272.500	-402363.468
323768.188	-769814.063	-406269.718
197588.703	-458009.469	-410175.968
285729.500	-451730.938	-414082.218
401024.438	-431383.219	-417988.468
165816.938	-481845.531	-421894.718
267028.281	-408993.656	-425800.968
379128.438	-458868.281	-429707.218
204978.672	-325474.719	-433613.468
308897.625	-517180.031	-437519.718
70266.086	-474532.625	-441425.968
358085.625	-328533.688	-445332.218
228887.813	-217904.531	-449238.468
504026.094	-280985.344	-453144.718
102389.539	-539787.188	-457050.968
534899.625	-223199.859	-460957.218
204700.281	-445268.594	-464863.468
569350.750	-293102.844	-468769.718
201496.922	-361174.719	-472675.968
429164.938	-200600.313	-476582.218
95409.563	-488950.406	-480488.468
317208.688	-217498.406	-484394.718
383941.281	-342468.844	-488300.968
340111.031	-442689.750	-492207.218
374640.844	-467584.844	-496113.468
246062.203	-331717.938	-500019.718
324953.813	-461166.125	-503925.968
365317.344	-431608.313	-507832.218
414145.406	-325849.125	-511738.468
328190.313	-373323.469	-515644.718
368920.438	-112116.188	-519550.968
247661.906	-145146.891	-523457.218
473049.156	-465275.406	-527363.468
377108.094	-269551.219	-531269.718
237992.250	-124454.492	-535175.968
340647.656	-373947.469	-539082.218
331462.438	-87264.156	-542988.468
465054.875	-566162.250	-546894.718
254112.156	-268655.719	-550800.968
407167.750	-201609.109	-554707.218
84871.969	-379173.563	-558613.468
331287.219	-219650.422	-562519.718
176077.734	-268544.938	-566425.968
236139.828	-447458.156	-570332.218
364308.969	-369741.156	-574238.468
472223.906	-34423.086	-578144.718
341806.938	-208975.000	-582050.968
208733.344	-258818.328	-585957.218
402322.531	-571787.313	-589863.468
365114.531	-268523.563	-593769.718
239402.484	-302879.250	-597675.968
332321.656	-203095.406	-601582.218
333434.000	-206646.609	-605488.468
352278.563	-211327.906	-609394.718
229231.484	-270172.094	-613300.968
368269.688	-306347.813	-617207.218
558594.000	58517.492	-621113.468
314135.594	-109329.508	-625019.718
342045.063	-84356.172	-628925.968
358511.469	-117585.547	-632832.218
498675.906	-247681.828	-636738.468
288581.094	-317503.344	-640644.718
287944.344	-289760.844	-644550.968
294689.094	117884.406	-648457.218
343456.594	-172799.609	-652363.468
424971.938	-286467.500	-656269.718
218445.297	-126293.695	-660175.968
418234.281	-277720.156	-664082.218
279834.875	-188193.031	-667988.468
507675.156	-322839.281	-671894.718
392277.156	-128052.242	-675800.968
343587.125	-45811.422	-679707.218
503104.156	-127491.688	-683613.468
250501.828	-117550.555	-687519.718
319868.938	-89265.031	-691425.968
287881.594	-121698.773	-695332.218
370712.500	-149504.859	-699238.468
418784.969	-59480.480	-703144.718
341425.625	-161870.516	-707050.968
418081.531	-127462.188	-710957.218
162372.172	-195506.813	-714863.468
473932.188	-109719.531	-718769.718
348528.125	-147562.234	-722675.968
352698.281	-147027.000	-726582.218
451914.438	-324211.969	-730488.468
482242.531	-199045.656	-734394.718
494920.344	-103731.547	-738300.968
176767.688	-118505.852	-742207.218
366046.719	-13170.636	-746113.468
497169.969	-167775.641	-750019.718
291829.844	-254353.250	-753925.968
412311.781	-41707.867	-757832.218
507236.969	-259478.734	-761738.468
506547.625	60087.906	-765644.718
223694.922	-222898.422	-769550.968
542262.688	-122615.859	-773457.218
282226.031	-102612.758	-777363.468
290878.031	-307758.281	-781269.718
303252.375	-43178.656	-785175.968
265016.406	3811.054	-789082.218
252625.313	-131969.609	-792988.468
316689.344	-46009.445	-796894.718
441057.719	94679.141	-800800.968
374653.875	-160989.859	-804707.218
372976.563	-92353.430	-808613.468
377426.156	111980.094	-812519.718
222551.891	-391316.125	-816425.968
308665.781	-110314.219	-820332.218
490639.000	-119845.164	-824238.468
326103.813	-21756.012	-828144.718
297424.375	-88360.352	-832050.968
248427.609	-42058.848	-835957.218
358895.563	-73343.281	-839863.468
398828.938	-108555.148	-843769.718
436072.094	-152044.500	-847675.968
305089.563	44725.863	-851582.218
322436.250	28937.287	-855488.468
449858.313	13411.869	-859394.718
296697.656	-177256.781	-863300.968
408581.625	81590.867	-867207.218
478185.750	-74856.789	-871113.468
306611.844	-81522.820	-875019.718
376089.656	-219015.578	-878925.968
546986.313	-12710.784	-882832.218
504333.438	-9563.372	-886738.468
399834.469	25632.822	-890644.718
503030.094	22891.852	-894550.968
259647.516	-157971.063	-898457.218
214669.328	-34572.801	-902363.468
272053.656	-113172.883	-906269.718
402804.563	-191854.469	-910175.968
390597.188	-11138.143	-914082.218
463423.844	-50263.012	-917988.468
311958.594	-16080.402	-921894.718
546583.250	-85356.953	-925800.968
280928.969	146987.469	-929707.218
238653.203	-30293.730	-933613.468
483082.781	-184830.578	-937519.718
407879.188	-4636.657	-941425.968
425101.719	-143124.094	-945332.218
365429.750	-34323.566	-949238.468
482527.469	-79285.484	-953144.718
245212.078	-133474.563	-957050.968
321297.469	-64991.109	-960957.218
367447.844	-221597.797	-964863.468
250630.484	-45087.059	-968769.718
450119.031	140374.094	-972675.968
343190.031	275795.438	-976582.218
377167.625	-29455.969	-980488.468
242581.594	24690.799	-984394.718
455152.219	60547.941	-988300.968
180681.000	80968.203	-992207.218
282727.688	24348.033	-996113.468
