Data Point Listing of File C:\NTNMR\data\Dan\31P_F2_spin_echo.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	Hz
231888.547	-210708.922	999980.282
-29782.467	-8904.417	998027.157
-108842.703	-41046.469	996074.032
145385.328	-126988.539	994120.907
-1673.989	-142726.797	992167.782
-137453.453	61241.785	990214.657
101021.094	207099.719	988261.532
26900.295	-181921.734	986308.407
-31751.229	52355.637	984355.282
56407.473	247571.406	982402.157
236494.266	-101757.742	980449.032
38931.660	-142443.859	978495.907
49272.723	114289.219	976542.782
173067.953	142248.203	974589.657
-100672.500	-56460.254	972636.532
-59800.676	-44912.637	970683.407
-30669.928	262844.500	968730.282
6109.509	-12032.687	966777.157
3927.745	8209.682	964824.032
-39507.176	47965.129	962870.907
-10687.158	-12124.550	960917.782
-15731.863	127566.016	958964.657
161374.984	-43625.523	957011.532
122096.664	36689.898	955058.407
-7656.111	-73539.438	953105.282
-5009.692	-1910.568	951152.157
-749.746	92643.766	949199.032
-26247.248	-69070.125	947245.907
-90248.719	169005.047	945292.782
-31665.826	29603.211	943339.657
19974.732	189139.719	941386.532
64352.223	218261.688	939433.407
147606.453	267343.250	937480.282
-53522.516	-69113.688	935527.157
136173.172	282174.188	933574.032
119100.344	-37572.410	931620.907
235677.609	201979.625	929667.782
190179.219	95299.828	927714.657
98509.273	-101844.219	925761.532
58520.254	69062.969	923808.407
72764.859	11838.791	921855.282
-5247.801	-74625.773	919902.157
-15226.667	37194.508	917949.032
128896.055	46636.410	915995.907
114752.875	3027.273	914042.782
133557.594	92842.250	912089.657
43513.563	66891.852	910136.532
171545.156	112638.766	908183.407
-24464.955	-46516.402	906230.282
151025.516	9146.116	904277.157
163229.281	77695.852	902324.032
208997.422	-18570.492	900370.907
1281.844	-34303.750	898417.782
100218.805	-123100.719	896464.657
-16533.193	35834.785	894511.532
18004.059	80058.641	892558.407
-36841.668	192206.156	890605.282
155520.438	97035.492	888652.157
26241.172	111342.078	886699.032
174191.156	-26266.625	884745.907
137400.641	49476.887	882792.782
135350.453	38012.867	880839.657
61878.125	-123069.758	878886.532
-18585.717	98919.789	876933.407
-65088.395	-14422.443	874980.282
34122.258	65410.074	873027.157
126111.398	-35621.156	871074.032
108865.398	59762.035	869120.907
-32698.107	63607.969	867167.782
88430.570	-33135.742	865214.657
175426.375	63183.625	863261.532
161118.328	291207.219	861308.407
-40307.473	-47259.473	859355.282
24897.316	-16816.406	857402.157
76129.648	181843.938	855449.032
203812.656	99549.438	853495.907
146933.797	32940.742	851542.782
87550.914	-195746.984	849589.657
229158.188	124380.273	847636.532
310368.656	26805.330	845683.407
177009.156	30179.672	843730.282
135527.219	-216714.688	841777.157
164807.500	-14405.489	839824.032
-50766.137	-56934.586	837870.907
59808.527	-65135.188	835917.782
92369.039	-80639.711	833964.657
243393.094	-191013.031	832011.532
-94073.484	-105460.672	830058.407
5297.159	-26654.168	828105.282
202539.297	-124085.133	826152.157
27911.480	105126.516	824199.032
224907.203	147293.344	822245.907
59573.906	-15400.507	820292.782
34949.590	55812.082	818339.657
-18097.389	-66355.219	816386.532
-100189.156	211524.156	814433.407
144576.078	-119360.203	812480.282
161931.516	4824.338	810527.157
-100921.977	-80939.961	808574.032
-167930.563	138209.734	806620.907
166340.109	-38572.039	804667.782
49817.078	-22475.814	802714.657
-48968.172	161821.484	800761.532
30955.955	30761.768	798808.407
-3065.337	142253.688	796855.282
-36516.203	-23204.102	794902.157
11110.466	-55988.746	792949.032
203929.984	191429.219	790995.907
239560.094	4791.110	789042.782
197737.250	-177732.406	787089.657
-49828.207	-44099.375	785136.532
70375.516	150415.938	783183.407
229757.281	22263.994	781230.282
45505.973	104445.320	779277.157
91562.383	-147199.422	777324.032
76226.883	154602.641	775370.907
228145.906	-40311.727	773417.782
103206.922	56627.676	771464.657
-1982.067	-60023.969	769511.532
-38958.820	62866.402	767558.407
-137973.359	99795.820	765605.282
176769.453	91290.727	763652.157
-171550.094	93103.234	761699.032
287734.906	137699.141	759745.907
259497.438	-68804.359	757792.782
57066.297	38679.469	755839.657
54674.414	-17842.527	753886.532
330290.500	55103.656	751933.407
201886.063	-117568.859	749980.282
97677.195	43304.480	748027.157
-241509.984	-93562.742	746074.032
65344.996	215791.313	744120.907
115524.547	38237.309	742167.782
8742.611	63134.613	740214.657
108132.023	25331.529	738261.532
122165.906	-130194.016	736308.407
-11627.527	29220.539	734355.282
-171879.141	8136.829	732402.157
26851.563	-51272.980	730449.032
11066.471	4930.426	728495.907
-8096.179	99166.336	726542.782
-4121.062	103009.250	724589.657
266656.688	42486.230	722636.532
-92605.219	166524.656	720683.407
299710.469	54310.512	718730.282
159276.453	-219501.906	716777.157
285086.438	123655.797	714824.032
-34582.441	-13521.914	712870.907
-19337.627	264445.219	710917.782
-109346.578	-21901.082	708964.657
324913.688	-130196.430	707011.532
185314.672	246764.094	705058.407
208481.203	-32228.621	703105.282
21265.459	105907.703	701152.157
-57976.680	280996.469	699199.032
18465.752	3100.269	697245.907
296676.469	175899.047	695292.782
106474.359	-119042.883	693339.657
-96874.234	-182757.813	691386.532
200165.734	-45802.504	689433.407
170653.156	126776.906	687480.282
61557.566	-22477.945	685527.157
10556.761	-51431.723	683574.032
106737.406	88715.570	681620.907
-145893.813	143979.906	679667.782
104654.313	42551.480	677714.657
216310.172	73837.563	675761.532
-93825.891	-37562.125	673808.407
-39735.617	124649.445	671855.282
153204.813	281875.719	669902.157
318105.813	136947.234	667949.032
-19123.846	125799.234	665995.907
275448.000	216450.344	664042.782
18848.273	124193.602	662089.657
370394.563	-138686.750	660136.532
269688.906	-137134.469	658183.407
206805.203	-59781.824	656230.282
-124164.797	-113309.234	654277.157
-196560.266	69808.125	652324.032
130500.063	94106.375	650370.907
31960.268	297025.719	648417.782
180797.656	-215595.734	646464.657
2797.132	-78036.945	644511.532
122060.633	162816.234	642558.407
-27773.084	249281.328	640605.282
27576.324	67516.281	638652.157
65464.223	19771.881	636699.032
324401.906	-227285.203	634745.907
8269.403	-58611.770	632792.782
216360.484	156373.266	630839.657
-134781.281	54538.805	628886.532
116605.188	208438.203	626933.407
123646.750	-63731.305	624980.282
40508.879	2610.845	623027.157
45169.742	91729.648	621074.032
88051.727	311251.344	619120.907
74343.914	23993.771	617167.782
-33609.828	54704.633	615214.657
151100.531	4029.425	613261.532
-4592.294	-108617.492	611308.407
239655.234	3710.178	609355.282
793.890	148824.781	607402.157
63203.676	-22373.205	605449.032
209314.609	19553.396	603495.907
-74706.227	165438.531	601542.782
44838.113	20789.699	599589.657
196651.813	142380.266	597636.532
208037.484	-12702.895	595683.407
-42793.816	46845.352	593730.282
307451.656	253252.031	591777.157
47062.230	379077.094	589824.032
161750.297	18232.932	587870.907
-29988.959	124391.563	585917.782
98123.914	177869.094	583964.657
71474.703	-217511.281	582011.532
-126593.813	-59236.035	580058.407
-4417.393	196056.719	578105.282
203260.594	221523.922	576152.157
123154.180	2518.865	574199.032
220613.344	125302.500	572245.907
45614.004	174793.641	570292.782
