Data Point Listing of File C:\NTNMR\data\Dan\LiMnPO4\[100]\Li7 [100] 30deg.tnt
Starting Point:	1	Ending Point:	1024
Real	Imag	ppm
396038.719	90652.508	8573.054
476451.063	-132687.969	8556.309
420781.188	-37356.152	8539.564
457084.531	2405.194	8522.820
571412.125	-33863.258	8506.075
480804.625	-98111.961	8489.331
510307.344	21631.029	8472.586
496744.000	-21340.867	8455.842
531672.875	-113335.180	8439.097
468772.125	53425.230	8422.352
388451.969	16148.771	8405.608
554615.188	7872.608	8388.863
436232.688	-100064.344	8372.119
502739.188	-17386.805	8355.374
493673.844	-16942.711	8338.630
467009.469	-2789.307	8321.885
549217.750	-22844.701	8305.140
467963.844	-140103.906	8288.396
462067.625	-27758.533	8271.651
446480.906	-70458.992	8254.907
553381.625	1295.566	8238.162
512547.438	108339.969	8221.417
539610.438	10024.545	8204.673
454117.563	60736.070	8187.928
580958.625	-103471.359	8171.184
456507.281	48951.004	8154.439
433432.563	31309.277	8137.695
514356.531	-71555.664	8120.950
522214.469	22066.459	8104.205
411598.563	-25979.934	8087.461
507375.188	44546.926	8070.716
455736.469	41583.539	8053.972
539525.688	-11595.862	8037.227
490989.125	64800.359	8020.483
599065.250	-53308.379	8003.738
533905.688	-25064.680	7986.993
552789.688	151496.906	7970.249
518443.719	50910.199	7953.504
498698.844	-85624.109	7936.760
592634.750	77836.586	7920.015
621602.938	-33073.652	7903.271
611866.500	-58902.188	7886.526
358420.594	50286.957	7869.781
526249.313	40418.707	7853.037
375189.500	44072.758	7836.292
399214.594	7992.005	7819.548
435876.875	37642.414	7802.803
486630.344	122813.969	7786.059
485330.375	-36286.250	7769.314
455127.969	73281.875	7752.569
589058.750	55604.945	7735.825
511160.438	-39461.598	7719.080
485712.906	11087.862	7702.336
523701.156	-24609.082	7685.591
420747.813	88577.148	7668.846
531334.938	117997.906	7652.102
450495.938	-24245.955	7635.357
465551.219	108335.711	7618.613
468611.406	13284.227	7601.868
540706.688	163716.688	7585.124
444833.313	21555.301	7568.379
673150.938	72361.578	7551.634
558294.500	95011.875	7534.890
560939.625	-11958.896	7518.145
525233.250	168321.359	7501.401
498989.781	-30530.604	7484.656
483618.469	46626.051	7467.912
589688.875	-66143.172	7451.167
426783.094	45673.398	7434.422
543471.750	71580.320	7417.678
625718.313	-44664.516	7400.933
502536.969	132042.438	7384.189
521845.719	-3424.680	7367.444
507952.625	66900.063	7350.700
418818.688	20406.605	7333.955
515379.563	79302.563	7317.210
411082.875	113010.023	7300.466
473099.625	64000.137	7283.721
612751.875	118694.516	7266.977
588527.938	80135.781	7250.232
532800.375	144031.438	7233.488
469251.906	80415.250	7216.743
538801.125	127558.891	7199.998
493386.656	70023.688	7183.254
455616.938	41098.398	7166.509
543923.375	54647.371	7149.765
613847.063	110745.469	7133.020
476841.969	-69583.523	7116.275
477604.031	40284.477	7099.531
435854.219	41170.742	7082.786
471711.500	54980.961	7066.042
492218.625	20040.691	7049.297
452429.156	63400.434	7032.553
348685.750	57240.785	7015.808
500102.906	208993.500	6999.063
355409.438	132760.797	6982.319
564097.125	149388.266	6965.574
553787.063	64511.332	6948.830
451088.563	118377.172	6932.085
501486.844	2654.057	6915.341
508028.219	149314.516	6898.596
497366.594	53253.125	6881.851
482197.906	87561.016	6865.107
478862.438	52880.086	6848.362
519143.000	175388.703	6831.618
558503.875	191761.406	6814.873
570344.313	28793.850	6798.129
544921.125	-27584.338	6781.384
436371.250	90195.859	6764.639
493196.469	63803.570	6747.895
539208.625	85124.555	6731.150
510965.500	131254.031	6714.406
449273.344	234636.484	6697.661
538634.938	110319.305	6680.917
512846.750	57855.195	6664.172
399293.406	137319.500	6647.427
440634.375	229631.313	6630.683
506596.000	73810.055	6613.938
455778.063	74371.555	6597.194
454536.281	199038.531	6580.449
452104.469	152198.656	6563.705
482889.938	175971.750	6546.960
466655.219	76492.195	6530.215
434508.344	304769.438	6513.471
477757.938	230591.688	6496.726
448926.594	95926.305	6479.982
407836.406	272495.469	6463.237
461623.938	138749.781	6446.492
439767.063	102594.563	6429.748
458540.500	131575.000	6413.003
453950.750	17093.209	6396.259
420105.094	179761.234	6379.514
391711.500	160356.672	6362.770
425781.781	121811.359	6346.025
517695.531	89128.047	6329.280
534488.125	269668.438	6312.536
456523.125	275927.844	6295.791
466601.438	216577.703	6279.047
587000.188	167496.125	6262.302
445086.438	171005.063	6245.558
562958.750	155194.078	6228.813
589296.125	148565.625	6212.068
540962.813	127586.078	6195.324
364670.969	163072.016	6178.579
581155.563	154834.047	6161.835
455233.406	160954.875	6145.090
389159.000	227025.531	6128.346
469336.188	179658.563	6111.601
454851.250	278809.281	6094.856
