Data Point Listing of File C:\NTNMR\data\phil\temp_F2_spin_echo.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	ppm
1570702.625	175306.453	8165.641
1183383.750	-133945.156	8133.743
1264643.125	-129329.570	8101.845
944093.188	612405.188	8069.948
1053673.125	-193658.813	8038.050
1247043.375	116590.492	8006.152
941927.438	-7500.323	7974.255
985017.438	228322.547	7942.357
843450.000	-156693.922	7910.459
1361667.375	-242590.750	7878.562
1334343.625	-431785.750	7846.664
1216707.625	-214365.391	7814.766
1399255.875	-300555.719	7782.869
1245835.500	355819.469	7750.971
821426.500	236956.391	7719.073
1396507.500	-86945.883	7687.176
1401583.875	-154045.203	7655.278
1243943.875	200931.516	7623.380
1032578.375	-64224.699	7591.483
1127903.125	-126543.227	7559.585
1292002.500	-100277.242	7527.687
1200984.750	-89981.906	7495.790
1298620.000	406806.438	7463.892
960010.000	189799.578	7431.994
700743.688	-162604.594	7400.097
723679.375	26778.807	7368.199
1498694.250	-47673.762	7336.301
1870915.000	-532009.125	7304.404
1336761.375	366968.219	7272.506
1475536.750	-396145.531	7240.608
983728.625	500561.625	7208.711
1043227.875	272738.438	7176.813
1177588.875	347811.188	7144.915
1499249.750	474496.844	7113.018
1373214.125	718216.500	7081.120
705677.563	196368.719	7049.223
1146664.250	76839.898	7017.325
1106198.125	-54035.855	6985.427
1559498.250	-14119.994	6953.530
1140412.625	-70750.852	6921.632
1228593.250	286433.813	6889.734
957481.813	593381.125	6857.837
1481113.250	124170.516	6825.939
1612199.375	-351387.969	6794.041
1484566.000	468759.313	6762.144
1049140.875	261684.172	6730.246
1096918.625	112387.250	6698.348
1239438.375	354069.875	6666.451
984694.813	688257.750	6634.553
1851440.625	121626.703	6602.655
1539783.875	123692.609	6570.758
811003.938	-39422.184	6538.860
915902.188	173846.844	6506.962
1306857.250	152677.406	6475.065
1524165.750	434107.688	6443.167
1130021.250	813742.375	6411.269
902777.125	781577.500	6379.372
849398.375	485042.125	6347.474
753339.563	93076.906	6315.576
1059086.000	758574.000	6283.679
1349744.875	374947.031	6251.781
1318475.125	545944.188	6219.883
1823744.750	-152144.578	6187.986
899438.625	512168.000	6156.088
570868.563	329016.875	6124.190
1507724.375	422408.750	6092.293
1239836.000	1022416.563	6060.395
1623140.000	710616.625	6028.497
1538307.000	134852.750	5996.600
1752601.375	64471.457	5964.702
1127178.500	159413.734	5932.804
1716738.125	215691.016	5900.907
1142855.625	332739.188	5869.009
1103421.750	919046.875	5837.111
1119407.875	117472.547	5805.214
888635.625	151539.703	5773.316
1322714.000	901589.063	5741.418
1482558.375	690887.625	5709.521
1184221.750	749741.500	5677.623
1357545.000	787689.563	5645.725
740271.250	436089.125	5613.828
1092320.750	826930.563	5581.930
565146.438	1528.034	5550.032
1941378.625	54848.742	5518.135
1414409.125	256814.813	5486.237
933578.813	837101.125	5454.339
1213119.250	1099478.125	5422.442
811503.375	810021.813	5390.544
1357905.125	745324.438	5358.646
1007981.438	632501.188	5326.749
1171325.125	800209.000	5294.851
1489449.875	147705.906	5262.953
1411041.875	737698.438	5231.056
