Data Point Listing of File C:\NTNMR\data\phil\temp_F2_spin_echo.tnt
Starting Point:	1	Ending Point:	512
Real	Imag	Hz
2232841.500	37646.180	999980.282
2371226.250	492774.063	996074.032
1769551.750	14153.770	992167.782
2652083.250	-109339.344	988261.532
2184945.250	66846.563	984355.282
2005697.500	-379296.406	980449.032
2217180.000	-307526.438	976542.782
2092701.625	-61059.371	972636.532
1959272.625	72932.141	968730.282
2303895.750	-175194.422	964824.032
1849704.500	277443.406	960917.782
2207649.750	-46331.668	957011.532
2932987.000	-26515.533	953105.282
2441930.250	425658.813	949199.032
2123153.750	-5990.383	945292.782
2426807.250	-75549.523	941386.532
2895831.750	-176195.984	937480.282
3084245.500	717681.313	933574.032
2867356.750	170542.109	929667.782
2403244.000	706454.188	925761.532
3094374.500	-50839.406	921855.282
2805780.500	446260.000	917949.032
2688799.250	-224505.125	914042.782
2079416.125	136546.969	910136.532
3063676.000	716598.188	906230.282
2245972.750	789231.063	902324.032
3269024.000	93846.953	898417.782
2012069.125	287026.125	894511.532
3209081.000	1014760.375	890605.282
2560441.750	-79995.117	886699.032
2298228.000	234562.422	882792.782
2591048.250	-293316.500	878886.532
1652838.625	324753.875	874980.282
2315921.500	748891.063	871074.032
2826576.750	1225185.625	867167.782
1939409.500	254214.938	863261.532
2603286.750	169845.453	859355.282
2207198.750	275184.969	855449.032
1571577.125	532787.813	851542.782
3025801.250	602235.438	847636.532
2048925.875	275956.781	843730.282
2323574.000	-5360.124	839824.032
2396759.500	-230926.641	835917.782
2409146.000	784172.875	832011.532
2421432.250	-68408.492	828105.282
1963863.625	465301.063	824199.032
1442719.375	650613.750	820292.782
2060408.375	781788.875	816386.532
2718614.500	1170511.000	812480.282
2381562.750	895179.250	808574.032
2376486.000	447832.375	804667.782
2552443.500	-80379.867	800761.532
2687943.500	1223190.750	796855.282
2299655.500	628646.938	792949.032
2344985.000	762797.188	789042.782
1596482.750	1528141.250	785136.532
1402175.250	213113.328	781230.282
2000020.500	697598.438	777324.032
2187747.000	798625.625	773417.782
2531946.000	737645.938	769511.532
2516362.500	342760.156	765605.282
2907538.250	1060071.875	761699.032
2394284.500	762604.438	757792.782
2322466.250	388287.188	753886.532
2092874.875	1249700.625	749980.282
2943924.750	979563.563	746074.032
1686534.125	1279418.625	742167.782
2066449.750	694683.000	738261.532
2585328.500	715473.938	734355.282
2162980.750	1820424.750	730449.032
2086453.625	1352635.375	726542.782
3161888.000	1091522.250	722636.532
2443152.750	374642.219	718730.282
2866142.750	1426162.125	714824.032
1946361.875	779102.063	710917.782
2168402.250	1536472.625	707011.532
2601463.250	1305955.500	703105.282
2446890.250	1065406.375	699199.032
2563662.250	883692.000	695292.782
1903450.250	464650.406	691386.532
2496309.500	1582792.500	687480.282
2478941.250	1278411.125	683574.032
2944597.750	1611537.750	679667.782
2742242.250	1928863.500	675761.532
2450804.750	2031324.750	671855.282
2404564.750	2491242.750	667949.032
2538976.250	2505483.250	664042.782
2228750.500	2793704.250	660136.532
2202342.750	1135875.000	656230.282
2565770.500	1264865.000	652324.032
3356039.250	1826281.625	648417.782
2089058.875	1094745.875	644511.532
2205735.500	2239860.500	640605.282
